Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mahmoud Abdul-Rauf,1996,PG,26,DEN,57,53,35.6,7.3,16.8,0.434,2.1,5.4,0.392,5.1,11.3,0.454,0.497,2.6,2.8,0.93,0.5,2,2.4,6.8,1.1,0.1,2,2.1,19.2
Michael Adams,1996,PG,33,CHH,21,3,15.7,1.8,4,0.446,0.7,2,0.341,1.1,2,0.548,0.53,1.2,1.7,0.743,0.2,0.8,1,3.2,1,0.2,1.2,1.2,5.4
Rafael Addison,1996,SF,31,CHH,53,0,9.7,1.5,3.1,0.467,0,0.2,0,1.5,2.9,0.494,0.467,0.3,0.4,0.773,0.5,1.2,1.7,0.6,0.2,0.2,0.5,1.4,3.2
Cory Alexander,1996,PG,22,SAS,60,0,9.3,1.1,2.6,0.406,0.4,1.1,0.394,0.6,1.5,0.416,0.49,0.3,0.4,0.64,0.2,0.6,0.7,2,0.5,0,1.1,1.6,2.8
Jerome Allen,1996,SG,23,MIN,41,0,8.8,0.9,2.6,0.343,0.2,0.8,0.303,0.6,1.8,0.361,0.39,0.6,0.9,0.722,0.1,0.5,0.6,1.2,0.5,0.1,0.8,1,2.6
Derrick Alston,1996,C,23,PHI,73,41,22.1,2.7,5.3,0.512,0,0,0.333,2.7,5.3,0.513,0.513,0.8,1.5,0.491,1.7,2.4,4.1,0.8,0.8,0.7,0.8,2.6,6.2
John Amaechi,1996,PF,25,CLE,28,3,12.8,1,2.5,0.414,0,0,,1,2.5,0.414,0.414,0.7,1.2,0.576,0.5,1.4,1.9,0.3,0.2,0.4,1.2,1.8,2.8
Ashraf Amaya,1996,PF,24,VAN,54,34,20.4,2.2,4.7,0.48,0,0,0,2.2,4.6,0.482,0.48,1.8,2.8,0.651,2.1,3.5,5.6,0.6,0.4,0.2,1.1,2.8,6.3
Greg Anderson,1996,PF,31,SAS,46,7,7.5,0.5,1,0.511,0,0,0,0.5,1,0.522,0.511,0.1,0.5,0.24,0.6,1.5,2.2,0.2,0.2,0.5,0.5,1.4,1.2
Kenny Anderson,1996,PG,25,TOT,69,64,34,5.1,12.1,0.418,1.3,3.7,0.359,3.7,8.4,0.445,0.474,3.8,4.9,0.769,0.9,2,2.9,8.3,1.6,0.2,2.1,2.6,15.2
Kenny Anderson,1996,PG,25,NJN,31,28,33.6,4.6,12.3,0.376,1.2,3.2,0.364,3.5,9.1,0.381,0.424,4.9,6.1,0.803,1.2,2.1,3.3,8,1.7,0.3,1.9,2.4,15.3
Kenny Anderson,1996,PG,25,CHH,38,36,34.3,5.4,11.9,0.454,1.5,4.1,0.357,3.9,7.8,0.505,0.515,2.9,3.9,0.727,0.7,2,2.7,8.6,1.6,0.2,2.3,2.8,15.2
Nick Anderson,1996,SG,28,ORL,77,77,35.3,5.2,11.7,0.442,2.2,5.6,0.391,3,6.2,0.489,0.535,2.2,3.1,0.692,1.2,4.2,5.4,3.6,1.6,0.6,1.8,1.8,14.7
Willie Anderson,1996,SG,29,TOT,76,44,27.1,3.8,8.7,0.436,0.4,1.6,0.283,3.3,7.1,0.47,0.462,1.7,2.1,0.81,0.6,2.6,3.2,2.6,1,0.8,1.9,3,9.8
Willie Anderson,1996,SG,29,TOR,49,42,31.9,4.7,10.8,0.44,0.6,1.9,0.305,4.1,8.8,0.47,0.468,2.3,2.7,0.856,0.7,3.1,3.8,3,1.2,1,2.4,3.5,12.4
Willie Anderson,1996,SG,29,NYK,27,2,18.4,2.1,4.9,0.421,0.2,0.9,0.2,1.9,4,0.472,0.44,0.7,1.1,0.613,0.5,1.7,2.2,1.8,0.6,0.3,0.9,2.2,5
Greg Anthony,1996,PG,28,VAN,69,68,30.4,4.7,11.3,0.415,1.3,3.9,0.332,3.4,7.4,0.459,0.472,3.3,4.3,0.771,0.4,2.1,2.5,6.9,1.7,0.2,2.3,2,14
B.J. Armstrong,1996,PG,28,GSW,82,64,27.6,4.1,8.9,0.468,1.2,2.5,0.473,3,6.3,0.465,0.535,2.9,3.4,0.839,0.3,2,2.2,4.9,0.8,0.1,1.6,1.8,12.3
Darrell Armstrong,1996,PG,27,ORL,13,0,3.2,1.2,2.5,0.5,0.5,0.9,0.5,0.8,1.5,0.5,0.594,0.3,0.3,1,0,0.2,0.2,0.4,0.5,0,0.5,0.3,3.2
Vincent Askew,1996,SG,29,SEA,69,2,25,3.1,6.3,0.493,0.4,1.2,0.337,2.7,5.1,0.531,0.526,1.8,2.3,0.764,0.9,2.2,3.2,2.4,0.7,0.2,1.4,2.6,8.4
Keith Askins,1996,SF,28,MIA,75,14,25.3,2.1,5.2,0.402,1.3,3.2,0.418,0.8,2.1,0.377,0.528,0.6,0.8,0.789,1.5,2.8,4.3,1.6,0.6,0.8,1.1,3.6,6.1
Stacey Augmon,1996,SF,27,ATL,77,49,29.8,4.7,9.6,0.491,0,0.1,0.25,4.7,9.5,0.492,0.491,3.3,4.1,0.792,1.8,2.2,3.9,1.8,1.4,0.4,1.8,2.4,12.7
Anthony Avent,1996,PF,26,VAN,71,32,22.3,2.5,6.6,0.384,0,0,,2.5,6.6,0.384,0.384,0.8,1.1,0.74,1.5,3.5,5,1,0.4,0.6,1.5,2.8,5.8
Vin Baker,1996,PF,24,MIL,82,82,40.5,8.5,17.4,0.489,0.1,0.6,0.208,8.4,16.8,0.499,0.493,3.9,5.8,0.67,3.2,6.6,9.9,2.6,0.8,1.1,2.6,3.3,21.1
Steve Bardo,1996,SG,27,DET,9,0,13.7,1,2.6,0.391,0,0.4,0,1,2.1,0.474,0.391,0.4,0.7,0.667,0.2,2.2,2.4,1.7,0.4,0.1,0.6,1.9,2.4
Charles Barkley*,1996,PF,32,PHO,71,71,37.1,8.2,16.3,0.5,0.7,2.5,0.28,7.5,13.9,0.539,0.521,6.2,8,0.777,3.4,8.1,11.6,3.7,1.6,0.8,3.1,2.9,23.2
