Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,1993,PF,24,TOT,75,52,17.5,3.3,6.3,0.518,0,0,0,3.3,6.3,0.519,0.518,1.2,1.5,0.759,1.7,2.8,4.5,0.4,0.3,0.3,1.3,2.5,7.7
Alaa Abdelnaby,1993,PF,24,MIL,12,0,13.3,2.2,4.7,0.464,0,0.1,0,2.2,4.6,0.473,0.464,1,1.3,0.75,1,2.1,3.1,0.8,0.5,0.3,1.1,2,5.3
Alaa Abdelnaby,1993,PF,24,BOS,63,52,18.3,3.5,6.6,0.525,0,0,,3.5,6.6,0.525,0.525,1.2,1.6,0.76,1.8,3,4.8,0.3,0.3,0.3,1.3,2.6,8.2
Mahmoud Abdul-Rauf,1993,PG,23,DEN,81,81,33.5,7.8,17.4,0.45,0.9,2.4,0.355,7,14.9,0.465,0.475,2.7,2.9,0.935,0.6,2.1,2.8,4.2,1,0.1,2.3,2.2,19.2
Mark Acres,1993,C,30,TOT,18,7,14.9,1.4,2.7,0.531,0.1,0.1,0.5,1.4,2.6,0.532,0.541,0.6,0.9,0.688,1.4,2.3,3.7,0.3,0.2,0.3,0.7,1.9,3.6
Mark Acres,1993,C,30,HOU,6,0,3.8,0.3,1.5,0.222,0.2,0.3,0.5,0.2,1.2,0.143,0.278,0.2,0.3,0.5,0.3,0.7,1,0,0,0,0.3,0.3,1
Mark Acres,1993,C,30,WSB,12,7,20.5,2,3.3,0.6,0,0,,2,3.3,0.6,0.6,0.8,1.2,0.714,2,3.1,5.1,0.4,0.3,0.5,0.9,2.7,4.8
Michael Adams,1993,PG,30,WSB,70,70,35.7,5.2,11.9,0.439,1,3,0.321,4.2,8.8,0.48,0.48,3.4,4,0.856,0.7,2.7,3.4,7.5,1.4,0.1,2.5,2.1,14.8
Rafael Addison,1993,SF,28,NJN,68,15,17.1,2.7,6,0.443,0.1,0.5,0.206,2.6,5.5,0.464,0.451,0.8,1,0.814,0.7,1.3,1.9,0.8,0.3,0.2,0.9,1.8,6.3
Mark Aguirre,1993,SF,33,DET,51,15,20.7,3.7,8.3,0.443,0.6,1.6,0.361,3.1,6.6,0.463,0.479,1.9,2.5,0.767,0.8,2.1,3,2.1,0.3,0.1,1.3,2,9.9
Danny Ainge,1993,SG,33,PHO,80,0,27,4.2,9.1,0.462,1.9,4.7,0.403,2.3,4.5,0.522,0.564,1.5,1.8,0.848,0.6,2.1,2.7,3.3,0.9,0.1,1.4,2.2,11.8
Victor Alexander,1993,C,23,GSW,72,59,24.3,4.8,9.3,0.516,0.1,0.3,0.455,4.6,9,0.518,0.523,1.5,2.3,0.685,1.8,4,5.8,1.3,0.5,0.7,1.7,3,11.2
Eric Anderson,1993,PF,22,NYK,16,0,2.8,0.3,1.1,0.278,0,0,,0.3,1.1,0.278,0.278,0.7,0.8,0.846,0.4,0.5,0.9,0.2,0.2,0.1,0.3,0.9,1.3
Kenny Anderson,1993,PG,22,NJN,55,55,36.5,6.7,15.5,0.435,0.1,0.5,0.28,6.6,15,0.44,0.439,3.3,4.2,0.776,0.9,3.2,4.1,8.2,1.7,0.2,2.8,2.5,16.9
