Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shawn Respert,1999,SG,26,PHO,12,1,8.3,1.1,3,0.361,0.3,1.1,0.308,0.8,1.9,0.391,0.417,0.6,0.8,0.7,0.2,0.9,1.1,0.7,0.4,0,0.4,0.8,3.1
Rodrick Rhodes,1999,SG-SF,25,TOT,13,1,12,1,4,0.25,0.1,0.5,0.143,0.9,3.5,0.267,0.26,1.2,1.9,0.64,0.7,0.6,1.3,0.8,0.4,0.2,1.5,1.6,3.3
Rodrick Rhodes,1999,SF,25,HOU,3,0,11,0.7,2.7,0.25,0,0,,0.7,2.7,0.25,0.25,1.7,2,0.833,0.7,0.7,1.3,0.3,0.3,0,1.7,1.7,3
Rodrick Rhodes,1999,SG,25,VAN,10,1,12.3,1.1,4.4,0.25,0.1,0.7,0.143,1,3.7,0.27,0.261,1.1,1.9,0.579,0.7,0.6,1.3,1,0.4,0.2,1.5,1.6,3.4
Glen Rice,1999,SF,31,LAL,27,25,36.5,6.3,14.7,0.432,2,5,0.393,4.4,9.7,0.452,0.499,2.9,3.3,0.856,0.3,3.3,3.7,2.6,0.6,0.2,1.7,2.5,17.5
Pooh Richardson,1999,PG,32,LAC,11,0,11.8,1.1,3.3,0.333,0,0.5,0,1.1,2.7,0.4,0.333,0.4,0.4,1,0.1,1.1,1.2,2.7,0.4,0,0.8,0.5,2.5
Mitch Richmond*,1999,SG,33,WAS,50,50,38.2,6.6,16.1,0.412,1.4,4.4,0.317,5.2,11.6,0.448,0.456,5,5.9,0.857,0.6,2.8,3.4,2.4,1.3,0.2,2.7,2.4,19.7
Isaiah Rider,1999,SG,27,POR,47,41,29.5,5.3,12.9,0.412,0.9,2.4,0.378,4.4,10.5,0.419,0.446,2.4,3.1,0.755,1.3,2.9,4.2,2.2,0.5,0.2,2,2.1,13.9
Eric Riley,1999,C,28,BOS,35,11,9.6,0.8,1.5,0.519,0,0,,0.8,1.5,0.519,0.519,0.6,0.9,0.71,1,1.8,2.8,0.4,0.3,0.7,0.7,2.1,2.2
Stanley Roberts,1999,C,28,HOU,6,0,5.5,0.8,2.2,0.385,0,0,,0.8,2.2,0.385,0.385,0.7,1.3,0.5,0.7,1.2,1.8,0,0,0.2,0.7,0.3,2.3
Clifford Robinson,1999,SF,32,PHO,50,35,34.8,6,12.6,0.475,1.2,2.8,0.417,4.8,9.8,0.492,0.521,3.3,4.7,0.697,1.4,3.2,4.5,2.6,1.5,1.2,1.8,3.1,16.4
David Robinson*,1999,C,33,SAS,49,49,31.7,5.5,10.8,0.509,0,0,0,5.5,10.7,0.51,0.509,4.9,7.4,0.658,3,7,10,2.1,1.4,2.4,2.2,2.9,15.8
Glenn Robinson,1999,SF,26,MIL,47,47,33.6,7.4,16.1,0.459,0.7,1.7,0.392,6.7,14.4,0.467,0.479,3,3.4,0.87,1.6,4.3,5.9,2.1,1,0.9,2.3,2.4,18.4
James Robinson,1999,PG,28,TOT,31,0,16.3,2.2,6,0.362,0.7,2.4,0.284,1.5,3.6,0.414,0.419,0.9,1.3,0.683,0.6,1.4,2,1.8,0.7,0.3,1.4,1.9,5.9
James Robinson,1999,PG,28,LAC,14,0,20,2.8,7,0.398,0.6,2.1,0.267,2.2,4.9,0.456,0.439,1.4,1.9,0.741,0.7,1.2,1.9,1.3,1,0.2,1.1,2.1,7.6
James Robinson,1999,PG,28,MIN,17,0,13.3,1.6,5.1,0.322,0.8,2.6,0.295,0.9,2.5,0.349,0.397,0.5,0.8,0.571,0.5,1.6,2.1,2.2,0.5,0.3,1.6,1.8,4.5
Dennis Rodman*,1999,PF,37,LAL,23,11,28.6,0.7,2,0.348,0,0.1,0,0.7,1.9,0.364,0.348,0.7,1.7,0.436,2.7,8.5,11.2,1.3,0.4,0.5,1.3,3.1,2.1
Carlos Rogers,1999,PF,27,POR,2,0,4,1,1,1,0,0,,1,1,1,1,0.5,2,0.25,0,0.5,0.5,0.5,0,0,0,1,2.5
Rodney Rogers,1999,SF,27,LAC,47,7,20.6,2.8,6.3,0.441,0.4,1.3,0.286,2.4,5,0.483,0.471,1.4,2.1,0.673,1.4,2.4,3.8,1.6,1,0.5,1.4,3,7.4
Sean Rooks,1999,C,29,LAL,36,0,8.8,0.9,2.2,0.405,0,0.1,0,0.9,2.1,0.416,0.405,0.9,1.3,0.708,0.9,1.1,2,0.3,0.1,0.3,0.6,1.7,2.7
Jalen Rose,1999,SF,26,IND,49,1,25.3,4.1,10.1,0.403,0.3,1.3,0.262,3.7,8.8,0.425,0.42,2.6,3.2,0.791,0.7,2.4,3.1,1.9,1,0.3,1.5,2.6,11.1
Malik Rose,1999,PF,24,SAS,47,0,12.9,2,4.3,0.463,0,0,0,2,4.3,0.465,0.463,2.1,3.1,0.671,1.9,2,3.9,0.6,0.9,0.5,1.2,2.6,6
Bryon Russell,1999,SF,28,UTA,50,50,35.4,4.3,9.4,0.464,1,2.9,0.354,3.3,6.4,0.514,0.519,2.7,3.4,0.795,1.3,4,5.3,1.5,1.5,0.3,1.5,3.1,12.4
Arvydas Sabonis*,1999,C,34,POR,50,48,27,4.6,9.6,0.485,0.1,0.5,0.292,4.5,9.1,0.496,0.493,2.7,3.5,0.771,1.8,6.1,7.9,2.4,0.7,1.3,1.7,2.9,12.1
Jason Sasser,1999,SF,25,VAN,6,0,6.5,0.8,1.8,0.455,0,0,,0.8,1.8,0.455,0.455,0.2,0.3,0.5,0.3,0.8,1.2,0.3,0.3,0,0.3,0.7,1.8
Danny Schayes,1999,C,39,ORL,19,1,7.5,0.6,1.5,0.379,0,0,,0.6,1.5,0.379,0.379,0.3,0.4,0.75,0.2,0.6,0.7,0.2,0.1,0.1,0.4,1.2,1.5
Dwayne Schintzius,1999,C,30,BOS,16,0,4.2,0.3,1,0.25,0,0,,0.3,1,0.25,0.25,0.2,0.3,0.75,0.4,0.8,1.2,0.5,0,0.2,0.6,1.1,0.7
Detlef Schrempf,1999,SF,36,SEA,50,39,35.3,5.2,11,0.472,0.7,1.7,0.395,4.5,9.3,0.486,0.503,4,4.9,0.823,1.5,5.9,7.4,3.7,0.8,0.5,2.1,3,15
Dennis Scott,1999,SF,30,TOT,36,9,20.5,2.4,5.9,0.408,1,2.7,0.381,1.4,3.2,0.431,0.495,0.6,0.9,0.742,0.2,1.4,1.6,1.1,0.4,0.1,0.5,1.4,6.5
Dennis Scott,1999,SF,30,NYK,15,0,13.7,1.1,3.7,0.304,0.5,1.9,0.276,0.6,1.8,0.333,0.375,0.1,0.3,0.25,0.2,1.1,1.3,0.5,0.2,0.1,0.3,1.1,2.9
Dennis Scott,1999,SF,30,MIN,21,9,25.3,3.3,7.5,0.446,1.4,3.2,0.426,2,4.2,0.461,0.538,1,1.3,0.815,0.2,1.6,1.8,1.5,0.6,0.1,0.7,1.5,9.1
Malik Sealy,1999,SF,28,MIN,31,7,23.6,3.1,7.5,0.411,0.2,0.7,0.261,2.9,6.7,0.428,0.424,1.8,2,0.902,0.7,2.2,3,1.2,1,0.2,1.1,2.2,8.1
Rony Seikaly,1999,C,33,NJN,9,0,9.8,0.4,2.2,0.2,0,0,,0.4,2.2,0.2,0.2,0.8,2,0.389,0.6,1.8,2.3,0.2,0.4,0.7,1.1,1.7,1.7
Charles Shackleford,1999,C,32,CHH,32,4,11.5,1.4,2.8,0.489,0,0,,1.4,2.8,0.489,0.489,0.6,0.9,0.655,1.3,2.8,4,0.4,0.2,0.4,0.8,2.1,3.3
Brian Shaw,1999,PG,32,POR,1,0,5,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,1,0,0,1,1,0
Casey Shaw,1999,C,23,PHI,9,0,1.6,0.1,0.9,0.125,0,0,,0.1,0.9,0.125,0.125,0,0,,0.3,0,0.3,0,0,0,0.2,0.2,0.2
Jeff Sheppard,1999,SG,24,ATL,18,5,10.3,0.8,2.2,0.385,0.1,0.4,0.286,0.7,1.8,0.406,0.41,0.4,0.7,0.615,0.3,0.9,1.2,0.9,0.2,0,0.4,0.7,2.2
Miles Simon,1999,SG,23,ORL,5,0,3.8,0.2,1,0.2,0,0.4,0,0.2,0.6,0.333,0.2,0,0,,0.2,0.2,0.4,0,0.2,0,0.6,0.2,0.4
Dickey Simpkins,1999,C,26,CHI,50,35,29,3,6.5,0.463,0,0,0,3,6.5,0.464,0.463,3.1,4.8,0.645,2.2,4.6,6.8,1.3,0.7,0.3,1.4,2.6,9.1
Alvin Sims,1999,SG,24,PHO,4,0,6.3,1,2.5,0.4,0.3,0.3,1,0.8,2.3,0.333,0.45,0.5,1.3,0.4,0.8,0.3,1,1.3,0.5,0,1.5,0.5,2.8
Brian Skinner,1999,PF,22,LAC,21,0,12.3,1.6,3.4,0.465,0,0,,1.6,3.4,0.465,0.465,1,1.6,0.606,1,1.6,2.5,0,0.5,0.6,0.9,1,4.1
Reggie Slater,1999,PF,28,TOR,30,0,8.8,1,2.7,0.383,0,0,,1,2.7,0.383,0.383,1.8,2.8,0.624,1.2,1.1,2.3,0.2,0.1,0.1,0.8,1.7,3.8
Charles Smith,1999,SG,23,LAC,23,10,13.8,1.5,4.2,0.361,0.3,1.4,0.212,1.2,2.8,0.438,0.397,0.3,0.7,0.438,0.3,0.7,1,0.6,0.7,0.6,0.9,1.5,3.7
Joe Smith,1999,C,23,MIN,43,42,33,5.2,12.1,0.427,0,0.1,0,5.2,12.1,0.43,0.427,3.3,4.4,0.755,3.6,4.7,8.2,1.6,0.7,1.5,1.5,3.4,13.7
Michael Smith,1999,PF,26,VAN,48,10,22.9,1.6,3,0.535,0,0,0,1.6,3,0.538,0.535,1.6,2.7,0.594,2.8,4.5,7.3,1,1,0.4,1.3,2.2,4.8
Steve Smith,1999,SG,29,ATL,36,36,36.5,6,15,0.402,1.3,3.9,0.338,4.7,11.1,0.424,0.445,5.3,6.3,0.849,1.4,2.8,4.2,3.3,1,0.3,2.8,2.8,18.7
Rik Smits,1999,C,32,IND,49,49,25.9,6.3,12.9,0.49,0,0,0,6.3,12.9,0.491,0.49,2.2,2.7,0.818,1.5,4.1,5.6,1.1,0.4,1.1,1.5,3.2,14.9
Eric Snow,1999,PG,25,PHI,48,48,35.8,3.1,7.3,0.428,0.1,0.4,0.238,3,6.8,0.44,0.435,2.3,3.1,0.733,0.5,2.9,3.4,6.3,2.1,0,2.3,3.1,8.6
Felton Spencer,1999,C,31,GSW,26,0,6.1,0.6,1.3,0.455,0,0,,0.6,1.3,0.455,0.455,0.5,1,0.462,0.7,1.1,1.8,0,0.2,0.4,0.3,1.6,1.6
Latrell Sprewell,1999,SF,28,NYK,37,4,33.3,5.8,14,0.415,0.6,2.1,0.273,5.2,11.9,0.44,0.435,4.2,5.2,0.812,1.1,3.1,4.2,2.5,1.2,0.1,2.1,1.8,16.4
Ryan Stack,1999,PF,23,CLE,18,0,11.1,0.8,2.1,0.378,0,0,,0.8,2.1,0.378,0.378,1.1,1.1,0.95,1.1,0.8,1.9,0.3,0.1,0.6,0.5,1.7,2.6
Jerry Stackhouse,1999,SG,24,DET,42,9,28.3,4.3,11.6,0.371,0.8,3,0.278,3.5,8.6,0.403,0.407,5,5.9,0.85,0.6,1.9,2.5,2.8,0.8,0.5,2.9,1.9,14.5
John Starks,1999,SG,33,GSW,50,50,33.7,5.4,14.6,0.37,1.6,5.4,0.29,3.8,9.2,0.416,0.423,1.5,2,0.74,0.7,2.6,3.3,4.7,1.4,0.1,1.7,2.7,13.8
Vladimir Stepania,1999,C,22,SEA,23,6,13.6,2.3,5.4,0.424,0,0.1,0,2.3,5.3,0.434,0.424,0.9,1.7,0.525,1.2,2.1,3.3,0.5,0.4,1,1.4,2.5,5.5
Michael Stewart,1999,C,23,TOR,42,2,9.4,0.5,1.3,0.415,0,0,,0.5,1.3,0.415,0.415,0.4,0.6,0.68,1,1.3,2.4,0.1,0.1,0.7,0.3,1.8,1.5
Bryant Stith,1999,SG,28,DEN,46,32,26,2.5,6.3,0.393,0.7,2.3,0.292,1.8,4,0.451,0.447,1.3,1.5,0.859,0.7,1.7,2.3,1.8,0.6,0.3,1,1.4,7
John Stockton*,1999,PG,36,UTA,50,50,28.2,4,8.2,0.488,0.3,1,0.32,3.7,7.2,0.511,0.507,2.7,3.4,0.811,0.6,2.3,2.9,7.5,1.6,0.3,2.2,2.1,11.1
Peja Stojaković,1999,SF,21,SAC,48,1,21.4,2.9,7.8,0.378,1.2,3.7,0.32,1.8,4.1,0.431,0.454,1.3,1.5,0.851,0.9,2.1,3,1.5,0.9,0.1,1.1,0.9,8.4
Damon Stoudamire,1999,PG,25,POR,50,50,33.5,5,12.6,0.396,0.9,2.8,0.31,4.1,9.7,0.421,0.431,1.8,2.4,0.73,0.8,2.5,3.3,6.2,1,0.1,2.2,1.6,12.6
Erick Strickland,1999,SG,25,DAL,33,2,17.2,2.7,6.7,0.403,0.5,1.8,0.305,2.2,4.9,0.438,0.443,1.6,2,0.815,0.4,2.2,2.5,1.9,1.2,0.1,1.1,1.3,7.5
Mark Strickland,1999,PF,28,MIA,32,1,11.2,1.6,3.2,0.495,0,0,0,1.6,3.1,0.5,0.495,0.6,0.8,0.731,0.8,1.6,2.4,0.3,0.2,0.3,0.4,0.9,3.7
Rod Strickland,1999,PG,32,WAS,44,43,37.1,5.7,13.7,0.416,0.3,1,0.286,5.4,12.8,0.426,0.426,4,5.4,0.746,1.3,3.5,4.8,9.9,1.7,0.1,3.2,2.1,15.7
Derek Strong,1999,PF,30,ORL,44,0,15.8,1.7,4.1,0.422,0,0,0,1.7,4,0.427,0.422,1.6,2.3,0.717,1.5,2.2,3.7,0.4,0.3,0.2,0.8,1.5,5.1
Bruno Šundov,1999,C,18,DAL,3,0,3.7,0.7,2.3,0.286,0,0,,0.7,2.3,0.286,0.286,0,0,,0,0,0,0.3,0,0,0.3,1.3,1.3
Bob Sura,1999,PG,25,CLE,50,6,16.8,1.4,4.2,0.333,0.2,0.9,0.2,1.2,3.3,0.37,0.355,1.3,2.1,0.631,0.4,1.6,2,3,0.9,0.3,1.3,2,4.3
Johnny Taylor,1999,SF,24,DEN,36,9,20.1,2.3,5.5,0.414,0.7,1.9,0.382,1.6,3.6,0.431,0.48,0.5,0.6,0.739,0.8,2,2.8,0.7,0.8,0.5,0.9,2.7,5.8
Maurice Taylor,1999,PF,22,LAC,46,45,32.7,6.8,14.7,0.461,0,0.1,0.167,6.7,14.5,0.463,0.461,3.3,4.5,0.728,2.2,3.1,5.3,1.5,0.3,0.6,2.6,3.9,16.8
John Thomas,1999,C,23,TOR,39,11,15.2,1.8,3.2,0.577,0,0,0,1.8,3.1,0.582,0.577,0.7,1.2,0.563,1.7,1.8,3.4,0.4,0.4,0.2,0.5,2.1,4.3
Kurt Thomas,1999,PF,26,NYK,50,44,23.6,3.4,7.4,0.462,0,0,0,3.4,7.3,0.463,0.462,1.3,2.2,0.611,1.6,4.1,5.7,1.1,0.9,0.3,1.5,3.2,8.1
Tim Thomas,1999,SF,21,TOT,50,26,16.2,2.6,5.6,0.473,0.4,1.4,0.309,2.2,4.2,0.526,0.511,1.5,2.2,0.652,1,1.5,2.5,0.9,0.5,0.2,0.9,2.1,7.2
Tim Thomas,1999,SF,21,PHI,17,0,11.1,1.6,3.9,0.403,0.3,1.1,0.263,1.3,2.8,0.458,0.44,1.1,1.4,0.792,0.4,1.5,1.9,0.9,0.2,0.2,0.9,1.2,4.6
Tim Thomas,1999,SF,21,MIL,33,26,18.9,3.2,6.4,0.495,0.5,1.5,0.327,2.7,4.9,0.546,0.533,1.6,2.7,0.614,1.3,1.5,2.8,0.9,0.7,0.3,0.9,2.6,8.5
Otis Thorpe,1999,PF,36,WAS,49,38,31.4,4.9,9,0.545,0,0,0,4.9,8.9,0.548,0.545,1.5,2.2,0.698,2,4.9,6.8,2.1,0.9,0.4,1.8,4,11.3
Robert Traylor,1999,C,21,MIL,49,43,16,2.2,4.1,0.537,0,0,0,2.2,4.1,0.54,0.537,0.9,1.6,0.538,1.6,2.1,3.7,0.8,0.9,0.9,0.9,2.9,5.3
Gary Trent,1999,PF,24,DAL,45,23,30.3,6.4,13.4,0.477,0,0.1,0,6.4,13.3,0.481,0.477,3.2,5.2,0.617,2.8,5,7.8,1.7,0.6,0.5,1.5,2.7,16
Nick Van Exel,1999,PG,27,DEN,50,50,36,6.1,15.4,0.398,1.4,4.7,0.308,4.7,10.7,0.437,0.445,2.8,3.5,0.811,0.3,2,2.3,7.4,0.8,0.1,2.4,1.8,16.5
