Magic Johnson,LeBron James,Michael Jordan,Chris Paul,Larry Bird,James Harden,Damian Lillard,Stephen Curry,Russell Westbrook,Kevin Durant,John Stockton,Allen Iverson,Isiah Thomas,Giannis Antetokounmpo,Charles Barkley,Anthony Davis,Clyde Drexler,Kobe Bryant,Jason Kidd,Karl Malone,Steve Nash,Dwyane Wade,Gary Payton,Kawhi Leonard,David Robinson,Dominique Wilkins,Julius Erving,Shaquille O'Neal,Hakeem Olajuwon,Tim Duncan,Kevin Garnett,George Gervin,Carmelo Anthony,Dirk Nowitzki,Ray Allen,Scottie Pippen,Kareem Abdul-Jabbar,Moses Malone,Reggie Miller,Paul Pierce,James Worthy,Patrick Ewing,Kevin McHale,Tiny Archibald,Robert Parish,Bill Walton,Dennis Rodman,Elvin Hayes,Dave Cowens,Bob McAdoo
50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
44,49,46,38,43,47,26,50,34,45,10,40,11,22,30,28,29,48,43,8,31,21,16,42,27,6,20,37,23,36,33,9,32,39,19,35,13,12,24,7,25,17,5,2,14,15,18,3,1,4
