Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,1984,C,36,LAL,80,80,32.8,9,15.5,0.578,0,0,0,9,15.5,0.579,0.578,3.6,4.9,0.723,2.1,5.2,7.3,2.6,0.7,1.8,2.8,2.6,21.5
Alvan Adams,1984,C,29,PHO,70,13,20.7,3.8,8.3,0.462,0,0.1,0,3.8,8.3,0.465,0.462,1.9,2.3,0.825,1.7,2.9,4.6,3.1,1,0.4,1.7,2.8,9.6
Mark Aguirre,1984,SF,24,DAL,79,79,36.7,11.7,22.3,0.524,0.2,0.7,0.268,11.5,21.6,0.532,0.528,5.9,7.9,0.749,2,3.9,5.9,4.5,1,0.3,3.6,3.1,29.5
Danny Ainge,1984,SG,24,BOS,71,3,16.3,2.3,5.1,0.46,0.1,0.3,0.273,2.3,4.8,0.472,0.468,0.6,0.8,0.821,0.4,1.2,1.6,2.3,0.6,0.1,1,2,5.4
J.J. Anderson,1984,SF,23,UTA,48,0,6.5,1.1,2.7,0.423,0,0.1,0,1.1,2.6,0.433,0.423,0.3,0.6,0.414,0.8,0.5,1.3,0.5,0.3,0.2,0.4,0.6,2.5
Richard Anderson,1984,PF,23,DEN,78,17,17.7,3.5,8.2,0.426,0,0.2,0.158,3.4,7.9,0.435,0.429,1.5,1.9,0.773,1.7,3.5,5.2,2.5,0.6,0.4,1.4,2.3,8.5
Tiny Archibald*,1984,PG,35,MIL,46,46,22.6,3,6.1,0.487,0.1,0.4,0.222,2.9,5.7,0.506,0.495,1.4,2.2,0.634,0.3,1.3,1.7,3.5,0.7,0,1.7,1.7,7.4
Ken Austin,1984,SF,22,DET,7,0,4,0.9,1.9,0.462,0,0,,0.9,1.9,0.462,0.462,0,0,,0.3,0.1,0.4,0.1,0.1,0.1,0.4,1,1.7
John Bagley,1984,PG,23,CLE,76,19,22.5,3.4,8,0.423,0,0.2,0.118,3.4,7.8,0.432,0.425,2.1,2.6,0.793,0.6,1.4,2.1,4.4,1,0.1,2.2,1.5,8.9
James Bailey,1984,PF,26,HOU,73,0,16.1,3.5,7.1,0.491,0,0,0,3.5,7.1,0.492,0.491,1.9,2.6,0.719,1.4,2.6,4,1.1,0.5,0.5,1.4,2.7,8.8
