Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,1995,PF,26,TOT,54,0,9.4,2.2,4.3,0.511,0,0,0,2.2,4.2,0.515,0.511,0.4,0.6,0.571,0.7,1.4,2.1,0.2,0.3,0.2,0.8,1.9,4.7
Alaa Abdelnaby,1995,PF,26,SAC,51,0,9.3,2.3,4.3,0.532,0,0,0,2.3,4.3,0.537,0.532,0.4,0.7,0.571,0.7,1.4,2.1,0.3,0.3,0.2,0.8,2,5
Alaa Abdelnaby,1995,PF,26,PHI,3,0,10,0.3,3.7,0.091,0,0,,0.3,3.7,0.091,0.091,0,0,,1,1.7,2.7,0,0,0,1.7,0.7,0.7
Mahmoud Abdul-Rauf,1995,PG,25,DEN,73,43,28.5,6.5,13.8,0.47,1.1,2.9,0.386,5.3,10.8,0.492,0.511,1.9,2.1,0.885,0.4,1.4,1.9,3.6,1.1,0.1,1.6,1.7,16
Michael Adams,1995,PG,32,CHH,29,0,15.3,2.3,5.1,0.453,1,2.8,0.358,1.3,2.3,0.567,0.551,0.9,1,0.833,0.2,0.8,1,3.3,0.8,0,0.9,1.4,6.5
Rafael Addison,1995,SF,30,DET,79,16,22.5,3.5,7.4,0.476,0.3,1.1,0.289,3.2,6.4,0.507,0.497,0.9,1.3,0.747,0.8,2.2,3.1,1.4,0.7,0.3,1,3,8.3
Danny Ainge,1995,SG,35,PHO,74,1,18.6,2.6,5.7,0.46,1.1,2.9,0.364,1.6,2.8,0.558,0.552,1.4,1.8,0.808,0.3,1.1,1.5,2.8,0.6,0.1,1.1,2.1,7.7
Victor Alexander,1995,C,25,GSW,50,29,24.7,4.6,8.9,0.515,0.1,0.5,0.24,4.5,8.4,0.531,0.521,0.7,1.2,0.6,1.7,4.1,5.8,1.2,0.6,0.6,1.5,2.9,10
Derrick Alston,1995,C,22,PHI,64,1,16.1,1.9,4,0.465,0,0.1,0,1.9,4,0.472,0.465,0.9,1.9,0.492,1.5,1.9,3.4,0.5,0.6,0.5,0.8,1.7,4.7
Greg Anderson,1995,PF,30,ATL,51,0,12.2,1.1,2,0.548,0,0,,1.1,2,0.548,0.548,0.7,1.4,0.479,1.2,2.5,3.7,0.3,0.5,0.6,0.6,2,2.9
Kenny Anderson,1995,PG,24,NJN,72,70,37.3,5.7,14.3,0.399,1.3,4.1,0.33,4.4,10.2,0.426,0.446,4.8,5.8,0.841,1,2.5,3.5,9.4,1.4,0.2,3.1,2.6,17.6
Nick Anderson,1995,SG,27,ORL,76,76,34.1,5.8,12.1,0.476,2.4,5.7,0.415,3.4,6.5,0.528,0.573,1.9,2.7,0.704,1.1,3.3,4.4,4.1,1.6,0.3,1.9,1.6,15.8
Willie Anderson,1995,SG,28,SAS,38,11,14.6,2,4.3,0.469,0.1,0.5,0.158,1.9,3.8,0.51,0.478,0.8,1.1,0.732,0.4,1.1,1.4,1.4,0.7,0.3,1,1.9,4.9
Greg Anthony,1995,PG,27,NYK,61,2,15.5,2.1,4.8,0.437,0.9,2.5,0.361,1.2,2.3,0.522,0.532,1,1.2,0.789,0.1,0.9,1,2.6,0.8,0.1,0.9,1.6,6.1
B.J. Armstrong,1995,PG,27,CHI,82,82,31.4,5.1,10.9,0.468,1.3,3.1,0.427,3.8,7.8,0.484,0.528,2.5,2.8,0.884,0.3,2,2.3,3,1,0.1,1.3,1.9,14
Darrell Armstrong,1995,PG,26,ORL,3,0,2.7,1,2.7,0.375,0.7,2,0.333,0.3,0.7,0.5,0.5,0.7,0.7,1,0.3,0,0.3,1,0.3,0,0.3,1,3.3
Vincent Askew,1995,SG,28,SEA,71,1,24.2,3.5,7.1,0.492,0.4,1.3,0.33,3.1,5.8,0.529,0.523,2.5,3.4,0.739,0.9,1.6,2.5,2.5,0.7,0.2,1.2,2.7,9.9
Keith Askins,1995,SF,27,MIA,50,5,17.1,1.6,4.1,0.391,0.4,1.6,0.269,1.2,2.6,0.465,0.442,0.9,1.1,0.807,1.7,2.2,4,0.8,0.7,0.3,0.5,2.2,4.6
Stacey Augmon,1995,SG,26,ATL,76,76,31.1,5.2,11.5,0.453,0.1,0.3,0.269,5.1,11.2,0.459,0.457,3.3,4.6,0.728,2.1,2.8,4.8,2.6,1.3,0.6,2,2.1,13.9
Anthony Avent,1995,PF,25,ORL,71,3,15,1.5,3.4,0.43,0,0,,1.5,3.4,0.43,0.43,0.7,1.1,0.64,1.4,2.8,4.1,0.6,0.4,0.7,0.7,2.4,3.6
Vin Baker,1995,PF,23,MIL,82,82,41,7.2,15,0.483,0.1,0.3,0.292,7.2,14.7,0.487,0.486,3.1,5.3,0.593,3.5,6.8,10.3,3.6,1,1.4,2.7,3.4,17.7
Charles Barkley*,1995,PF,31,PHO,68,66,35,8.1,16.8,0.486,1.1,3.2,0.338,7.1,13.6,0.521,0.518,5.6,7.5,0.748,3,8.1,11.1,4.1,1.6,0.7,2.2,3,23
Dana Barros,1995,PG,27,PHI,82,82,40.5,7,14.2,0.49,2.4,5.2,0.464,4.6,9,0.505,0.575,4.2,4.7,0.899,0.3,3,3.3,7.5,1.8,0,3,1.9,20.6
Jon Barry,1995,SG,25,MIL,52,0,11.6,1.1,2.6,0.425,0.3,0.9,0.333,0.8,1.7,0.477,0.485,1.2,1.5,0.763,0.3,0.7,0.9,1.6,0.6,0.1,0.8,1,3.7
John Battle,1995,SG,32,CLE,28,0,10,1.5,4.1,0.377,0.4,1.1,0.355,1.1,3,0.386,0.425,0.7,0.9,0.731,0.1,0.3,0.4,1.3,0.3,0,0.6,1,4.1
Sergei Bazarevich,1995,PG,29,ATL,10,0,7.4,1.1,2.2,0.5,0.1,0.6,0.167,1,1.6,0.625,0.523,0.7,0.9,0.778,0.1,0.6,0.7,1.4,0.1,0.1,0.7,1,3
Benoit Benjamin,1995,C,30,NJN,61,57,26.2,4.4,8.7,0.51,0,0,,4.4,8.7,0.51,0.51,2.2,2.9,0.76,1.5,5.7,7.2,0.6,0.4,1,2,2.5,11.1
Elmer Bennett,1995,PG,24,CLE,4,0,4.5,1.5,2.8,0.545,0,0.5,0,1.5,2.3,0.667,0.545,0.8,1,0.75,0,0.3,0.3,0.8,1,0,0.8,0.8,3.8
Tony Bennett,1995,PG,25,CHH,3,0,15.3,2,4.3,0.462,0.7,3,0.222,1.3,1.3,1,0.538,0,0,,0,0.7,0.7,1.3,0,0,1,2,4.7
David Benoit,1995,SF,26,UTA,71,67,25.9,4,8.3,0.486,0.5,1.6,0.33,3.5,6.6,0.523,0.518,1.9,2.2,0.841,1.4,3.8,5.2,0.8,0.6,0.7,1.1,2.6,10.4
James Blackwell,1995,PG,26,TOT,13,0,6.2,0.6,1,0.615,0,0,,0.6,1,0.615,0.615,0.2,0.2,0.667,0.2,0.7,0.8,0.8,0.3,0,0.4,0.6,1.4
James Blackwell,1995,PG,26,CHH,4,0,4.8,0.5,0.8,0.667,0,0,,0.5,0.8,0.667,0.667,0,0,,0,0.8,0.8,1.3,0.3,0,0.5,0.3,1
James Blackwell,1995,PG,26,BOS,9,0,6.8,0.7,1.1,0.6,0,0,,0.7,1.1,0.6,0.6,0.2,0.3,0.667,0.2,0.7,0.9,0.7,0.3,0,0.3,0.8,1.6
Mookie Blaylock,1995,PG,27,ATL,80,80,38.4,6.4,15,0.425,2.5,6.9,0.359,3.9,8,0.482,0.508,2,2.7,0.729,1.5,3.5,4.9,7.7,2.5,0.3,3,2.1,17.2
Corie Blount,1995,PF,26,CHI,68,9,13.1,1.5,3.1,0.476,0,0,0,1.5,3.1,0.481,0.476,0.6,1,0.567,1.6,2,3.5,0.9,0.4,0.5,0.9,2.1,3.5
Muggsy Bogues,1995,PG,30,CHH,78,78,33.7,4.5,9.4,0.477,0.1,0.4,0.2,4.4,9,0.489,0.481,2.1,2.3,0.889,0.7,2.6,3.3,8.7,1.3,0,1.7,1.9,11.1
Manute Bol,1995,C,32,GSW,5,2,16.2,1.2,2,0.6,0.6,1,0.6,0.6,1,0.6,0.75,0,0,,0.2,2.2,2.4,0,0,1.8,0.2,2,3
Walter Bond,1995,SG,25,TOT,23,0,12.6,1.7,3.7,0.464,0.7,1.8,0.366,1,1.9,0.558,0.554,0.6,0.9,0.7,0.3,1,1.4,1,0.3,0.2,0.7,2,4.7
Walter Bond,1995,SG,25,DET,5,0,10.2,0.6,2.4,0.25,0.2,0.8,0.25,0.4,1.6,0.25,0.292,0.6,0.8,0.75,0.2,0.8,1,1.4,0.2,0,0.6,2,2
Walter Bond,1995,SG,25,UTA,18,0,13.3,2,4,0.5,0.8,2.1,0.378,1.2,1.9,0.629,0.597,0.6,0.9,0.688,0.4,1.1,1.5,0.9,0.3,0.2,0.8,2.1,5.4
Anthony Bonner,1995,PF,26,NYK,58,23,19.4,1.5,3.3,0.456,0,0.1,0.2,1.5,3.2,0.463,0.459,0.8,1.2,0.657,1.9,2.6,4.5,1.4,0.8,0.4,1.4,2.7,3.8
Anthony Bowie,1995,SG,31,ORL,77,4,16.4,2.3,4.8,0.48,0.2,0.5,0.3,2.1,4.3,0.502,0.496,0.8,0.9,0.836,0.7,1.1,1.8,2.1,0.6,0.3,1.1,1.8,5.5
Sam Bowie,1995,C,33,LAL,67,10,18.3,1.8,4,0.442,0,0.2,0.182,1.7,3.8,0.453,0.446,1,1.3,0.764,1.1,3.2,4.3,1.8,0.3,1.2,1.4,2.7,4.6
Shawn Bradley,1995,C,22,PHI,82,59,28.8,3.8,8.5,0.455,0,0,0,3.8,8.4,0.457,0.455,1.8,2.8,0.638,3,5.1,8,0.6,0.7,3.3,1.7,4.1,9.5
Terrell Brandon,1995,PG,24,CLE,67,41,29.3,5.1,11.4,0.448,0.7,1.8,0.397,4.4,9.6,0.457,0.479,2.4,2.8,0.855,0.5,2.3,2.8,5.4,1.6,0.2,2.1,1.8,13.3
Tim Breaux,1995,SF,24,HOU,42,2,8.1,1.1,2.9,0.372,0.1,0.6,0.24,0.9,2.3,0.406,0.397,0.8,1.2,0.653,0.4,0.4,0.8,0.4,0.3,0.1,0.4,0.6,3
Scott Brooks,1995,PG,29,TOT,59,0,13.7,2.1,4.7,0.458,0.4,1.2,0.362,1.7,3.5,0.49,0.504,1.1,1.3,0.81,0.2,0.9,1.1,2,0.6,0.1,0.8,0.9,5.8
Scott Brooks,1995,PG,29,HOU,28,0,6.6,1.3,2.3,0.538,0.3,0.6,0.471,1,1.7,0.563,0.6,0.6,0.8,0.857,0,0.4,0.5,0.8,0.3,0,0.5,0.5,3.4
Scott Brooks,1995,PG,29,DAL,31,0,20.1,2.9,6.8,0.433,0.5,1.7,0.327,2.4,5.1,0.468,0.474,1.5,1.9,0.793,0.4,1.3,1.7,3,0.8,0.1,1.1,1.4,7.9
Chucky Brown,1995,SF,26,HOU,41,14,19.9,2.6,4.2,0.603,0,0.1,0.333,2.5,4.2,0.608,0.606,0.9,1.5,0.613,1.6,3,4.6,0.7,0.3,0.3,0.7,2.6,6.1
Dee Brown,1995,SG,26,BOS,79,69,35.3,5.5,12.4,0.447,1.6,4.1,0.385,3.9,8.2,0.478,0.512,3,3.5,0.852,0.8,2.4,3.2,3.8,1.4,0.6,1.8,2.3,15.6
Mike Brown,1995,C,31,MIN,27,0,7.9,0.4,1.5,0.25,0,0,0,0.4,1.4,0.256,0.25,0.6,1,0.556,0.3,1.3,1.7,0.4,0.3,0,0.6,1.3,1.3
P.J. Brown,1995,C,25,NJN,80,63,30.8,3.2,7.1,0.446,0.1,0.3,0.167,3.1,6.8,0.458,0.449,1.7,2.6,0.671,2.2,3.9,6.1,1.7,0.9,1.7,1,3.3,8.1
Randy Brown,1995,PG,26,SAC,67,2,16.2,1.9,4.3,0.432,0.2,0.7,0.298,1.6,3.6,0.458,0.456,0.8,1.2,0.671,0.4,1.3,1.6,2,1.5,0.3,1.2,2.3,4.7
Mark Bryant,1995,PF,29,POR,49,0,13.4,2.1,3.9,0.526,0,0,0.5,2,3.9,0.526,0.529,0.8,1.3,0.651,1.1,2.2,3.3,0.6,0.4,0.3,0.8,2.2,5
Jud Buechler,1995,SF,26,CHI,57,0,10.6,1.6,3.2,0.492,0.3,0.8,0.313,1.3,2.4,0.556,0.533,0.4,0.7,0.564,0.6,1.1,1.7,0.9,0.4,0.2,0.5,1.1,3.8
Scott Burrell,1995,SF,24,CHH,65,62,31,4.3,9.1,0.467,1.5,3.6,0.409,2.8,5.5,0.506,0.548,1.5,2.2,0.694,1.5,4.2,5.7,2.5,1.2,0.6,1.3,2.9,11.5
