Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tariq Abdul-Wahad,2003,SG,28,DAL,14,0,14.6,1.9,4.1,0.466,0,0.1,0,1.9,4.1,0.474,0.466,0.2,0.4,0.5,1,1.9,2.9,1.5,0.4,0.2,0.5,1.9,4.1
Shareef Abdur-Rahim,2003,PF,26,ATL,81,81,38.1,7,14.6,0.478,0.3,0.7,0.35,6.7,13.9,0.485,0.487,5.6,6.7,0.841,2.2,6.2,8.4,3,1.1,0.5,2.6,3,19.9
Courtney Alexander,2003,PG,25,NOH,66,7,20.6,2.9,7.7,0.382,0.3,0.9,0.333,2.6,6.8,0.388,0.401,1.8,2.2,0.808,0.6,1.2,1.8,1.2,0.5,0.1,1,1.9,7.9
Malik Allen,2003,PF,24,MIA,80,73,29,4.2,9.9,0.424,0,0.1,0,4.2,9.8,0.426,0.424,1.2,1.5,0.802,1.7,3.6,5.3,0.7,0.5,1,1.6,2.9,9.6
Ray Allen*,2003,SG,27,TOT,76,75,37.9,7.9,17.9,0.439,2.6,7,0.377,5.2,10.9,0.478,0.512,4.2,4.5,0.916,1.2,3.8,5,4.4,1.4,0.2,2.6,2.9,22.5
Ray Allen*,2003,SG,27,MIL,47,46,35.8,7.5,17.1,0.437,2.6,6.6,0.395,4.9,10.5,0.463,0.514,3.8,4.1,0.913,1,3.7,4.6,3.5,1.2,0.2,2.5,3.2,21.3
Ray Allen*,2003,SG,27,SEA,29,29,41.3,8.5,19.3,0.441,2.7,7.7,0.351,5.8,11.7,0.5,0.511,4.8,5.2,0.92,1.7,3.9,5.6,5.9,1.6,0.1,2.8,2.4,24.5
Rafer Alston,2003,PG,26,TOR,47,4,20.9,3,7.1,0.415,1.1,2.8,0.392,1.9,4.4,0.429,0.491,0.8,1.1,0.685,0.4,1.8,2.3,4.1,0.8,0.3,1.8,2.6,7.8
John Amaechi,2003,C,32,UTA,50,1,9.5,0.7,2.4,0.314,0,0,,0.7,2.4,0.314,0.314,0.5,1,0.481,0.5,1,1.5,0.4,0.3,0.1,0.7,1,2
Chris Andersen,2003,C,24,DEN,59,3,15.4,1.9,4.8,0.4,0,0,0,1.9,4.8,0.401,0.4,1.3,2.4,0.55,1.8,2.8,4.6,0.5,0.5,1,1,1.5,5.2
Derek Anderson,2003,PG,28,POR,76,76,33.6,4.7,10.9,0.427,1.5,4.4,0.35,3.1,6.6,0.477,0.496,3,3.5,0.859,0.7,2.8,3.5,4.3,1.2,0.2,1.7,1.9,13.9
Kenny Anderson,2003,PG,32,TOT,61,2,18.6,2.7,6.3,0.427,0,0.1,0.143,2.7,6.1,0.432,0.428,0.7,0.9,0.789,0.5,1.7,2.2,3.2,1,0.1,1.2,1.7,6.1
Kenny Anderson,2003,PG,32,SEA,38,1,18.1,2.7,6.1,0.44,0,0.1,0,2.7,6,0.449,0.44,0.8,0.9,0.829,0.4,1.8,2.3,3.2,1.1,0,0.9,1.7,6.1
Kenny Anderson,2003,PG,32,NOH,23,1,19.4,2.7,6.5,0.407,0,0.1,0.5,2.6,6.4,0.405,0.41,0.7,1,0.727,0.6,1.3,2,3.3,0.8,0.2,1.8,1.9,6
Shandon Anderson,2003,SF,29,NYK,82,9,21.1,3,6.5,0.462,0.6,1.7,0.371,2.4,4.8,0.494,0.51,1.7,2.3,0.732,0.8,2.3,3.1,1.1,0.9,0.2,1.4,2.2,8.4
Robert Archibald,2003,PF,22,MEM,12,0,6,0.5,1.7,0.3,0,0,,0.5,1.7,0.3,0.3,0.6,1.5,0.389,0.5,0.9,1.4,0.3,0,0.3,0.6,0.8,1.6
Gilbert Arenas,2003,PG,21,GSW,82,82,35,6.2,14.4,0.431,1.3,3.8,0.348,4.9,10.6,0.461,0.478,4.5,5.7,0.791,1.2,3.5,4.7,6.3,1.5,0.2,3.5,3.2,18.3
Brandon Armstrong,2003,SG,22,NJN,17,0,4.1,0.5,1.6,0.333,0.1,0.4,0.167,0.5,1.2,0.381,0.352,0.3,0.4,0.833,0,0.2,0.2,0.1,0.2,0.1,0.3,0.5,1.4
Darrell Armstrong,2003,PG,34,ORL,82,23,28.7,3.2,7.8,0.409,1,2.8,0.336,2.3,5,0.45,0.47,2,2.3,0.878,1.1,2.5,3.6,3.9,1.6,0.2,2,2,9.4
Carlos Arroyo,2003,PG,23,UTA,44,0,6.5,1.1,2.5,0.459,0.1,0.2,0.429,1.1,2.3,0.461,0.472,0.4,0.5,0.818,0.3,0.3,0.6,1.2,0.3,0,0.7,0.6,2.8
Chucky Atkins,2003,PG,28,DET,65,7,21.5,2.6,7.2,0.361,1.3,3.7,0.355,1.3,3.4,0.368,0.454,0.6,0.8,0.816,0.3,1.2,1.5,2.7,0.4,0.1,1.2,1.7,7.1
Stacey Augmon,2003,SG,34,NOH,70,3,12.3,1.1,2.7,0.411,0,0.1,0,1.1,2.6,0.427,0.411,0.8,1,0.75,0.4,1.3,1.7,1,0.4,0.1,0.6,1.1,3
Dalibor Bagarić,2003,C,22,CHI,10,0,7.6,0.8,2.6,0.308,0,0,,0.8,2.6,0.308,0.308,0.3,0.4,0.75,0.7,1.3,2,0.4,0.3,0.3,0.5,1.1,1.9
Vin Baker,2003,C,31,BOS,52,9,18.1,1.9,4,0.478,0,0.1,0,1.9,3.9,0.488,0.478,1.4,2.1,0.673,1.7,2.1,3.8,0.6,0.4,0.6,1.2,2.8,5.2
Brent Barry,2003,SG,31,SEA,75,68,33.1,3.5,7.7,0.458,1.6,3.9,0.403,1.9,3.8,0.514,0.56,1.7,2.1,0.795,0.6,3.4,4,5.1,1.5,0.2,1.9,2.7,10.3
Jon Barry,2003,SG,33,DET,80,0,18.4,2.4,5.3,0.45,1.1,2.7,0.407,1.3,2.6,0.495,0.553,1.1,1.3,0.86,0.4,1.8,2.3,2.6,0.8,0.2,1,1.3,6.9
Maceo Baston,2003,PF,27,TOR,16,0,6.6,0.9,1.6,0.6,0,0,,0.9,1.6,0.6,0.6,0.6,0.8,0.833,0.3,1.2,1.4,0,0.3,0.7,0.4,1,2.5
Mengke Bateer,2003,C,27,SAS,12,0,3.8,0.3,1.4,0.235,0.1,0.3,0.333,0.3,1.2,0.214,0.265,0,0.2,0,0.2,0.7,0.8,0.3,0,0,0.5,1.2,0.8
Mike Batiste,2003,PF,25,MEM,75,2,16.6,2.6,6.2,0.422,0.2,1.1,0.222,2.4,5.1,0.464,0.441,0.9,1.2,0.784,1.1,2.3,3.4,0.7,0.6,0.2,0.9,1.6,6.4
Tony Battie,2003,C,26,BOS,67,62,25.1,3,5.5,0.539,0,0.1,0.2,3,5.4,0.544,0.541,1.3,1.8,0.746,2.2,4.3,6.5,0.7,0.5,1.2,0.7,2.9,7.3
