Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,1981,C,33,LAL,80,,37.2,10.5,18.2,0.574,0,0,0,10.5,18.2,0.574,0.574,5.3,6.9,0.766,2.5,7.8,10.3,3.4,0.7,2.9,3.1,3.1,26.2
Tom Abernethy,1981,SF,26,TOT,39,,7.6,0.6,1.5,0.424,0,0,0,0.6,1.5,0.431,0.424,0.3,0.6,0.591,0.5,0.7,1.2,0.5,0.2,0.1,0.2,0.9,1.6
Tom Abernethy,1981,SF,26,GSW,10,,3.9,0.1,0.3,0.333,0,0,,0.1,0.3,0.333,0.333,0.2,0.3,0.667,0.1,0.7,0.8,0.1,0.1,0,0.2,0.5,0.4
Tom Abernethy,1981,SF,26,IND,29,,8.9,0.8,1.9,0.429,0,0,0,0.8,1.9,0.436,0.429,0.4,0.7,0.579,0.7,0.7,1.4,0.6,0.2,0.1,0.2,1,2
Alvan Adams,1981,C,26,PHO,75,,27.4,6.1,11.6,0.526,0,0,,6.1,11.6,0.526,0.526,2.7,3.5,0.768,2.1,5.2,7.3,4.6,1.4,0.9,3,3,14.9
Darrell Allums,1981,PF,22,DAL,22,,12.5,1,3,0.343,0,0,0,1,3,0.348,0.343,0.6,1,0.591,0.9,2.1,3,1.1,0.2,0.4,1,2.3,2.7
Tiny Archibald*,1981,PG,32,BOS,80,72,35.3,4.8,9.6,0.499,0,0.1,0,4.8,9.5,0.505,0.499,4.3,5.2,0.816,0.5,1.8,2.2,7.7,0.9,0.2,3.3,2.5,13.8
Dennis Awtrey,1981,C,32,SEA,47,,12.9,0.9,2,0.473,0,0,,0.9,2,0.473,0.473,0.3,0.4,0.7,0.7,1.6,2.3,1.1,0.3,0.2,0.7,1.8,2.2
James Bailey,1981,PF,23,SEA,82,,31,5.4,10.8,0.499,0,0,0.5,5.4,10.8,0.499,0.5,3.1,4.4,0.709,2.3,5.1,7.4,1.2,0.9,1.7,2.7,4,14
Greg Ballard,1981,SF,26,WSB,82,,31.8,6.7,14.5,0.463,0.1,0.4,0.219,6.6,14.1,0.47,0.466,2,2.4,0.847,2,5,7.1,2.4,1.4,0.5,1.4,2.4,15.5
Mike Bantom,1981,SF,29,IND,76,,31.3,5.7,11.6,0.489,0,0.1,0,5.7,11.5,0.492,0.489,2.6,3.7,0.708,2,3.6,5.6,3.2,1.1,1.1,2.6,3.7,14
Billy Ray Bates,1981,SG,24,POR,77,,20.3,5.7,11.7,0.487,0.2,0.7,0.259,5.5,11,0.501,0.494,2.2,2.6,0.854,0.9,1.1,2,2.5,1.1,0.1,1.9,1.6,13.8
Mel Bennett,1981,PF,26,UTA,28,,11.2,0.9,2.1,0.433,0,0.1,0,0.9,2.1,0.448,0.433,1.9,2.9,0.654,1.2,2.1,3.3,0.5,0.1,0.4,1.1,2,3.8
Kent Benson,1981,C,26,DET,59,,33.2,6.2,13.1,0.473,0,0.1,0,6.2,13,0.475,0.473,3.3,4.3,0.772,2.1,4.7,6.8,2.9,1.2,1.1,3.2,3.1,15.7
Henry Bibby,1981,PG,31,SDC,73,,15.2,1.6,4.2,0.386,0.4,1.3,0.337,1.2,2.9,0.408,0.438,0.9,1.3,0.684,0.3,0.7,1,2.7,0.6,0,1,1.2,4.6
Larry Bird*,1981,PF,24,BOS,82,82,39.5,8.8,18.3,0.478,0.2,0.9,0.27,8.5,17.4,0.489,0.485,3.5,4,0.863,2.3,8.6,10.9,5.5,2,0.8,3.5,2.9,21.2
Otis Birdsong,1981,SG,25,KCK,71,,36.5,10,18.4,0.544,0.1,0.5,0.286,9.9,17.9,0.551,0.547,4.5,6.4,0.697,1.7,2,3.6,3.3,1.3,0.3,2.4,2.4,24.6
Norman Black,1981,SG,23,DET,3,,9.3,1,3.3,0.3,0,0,,1,3.3,0.3,0.3,0.7,2.7,0.25,0,0.7,0.7,0.7,0.3,0,0.3,0.7,2.7
Ron Boone,1981,SG,34,UTA,52,,22,3.1,7.1,0.431,0.2,0.8,0.282,2.9,6.4,0.449,0.446,1.4,1.8,0.798,0.3,1.3,1.6,3.1,0.6,0.2,2.1,2.4,7.8
Winford Boynes,1981,SG,23,DAL,44,,17.2,2.8,7.1,0.387,0,0,,2.8,7.1,0.387,0.387,1,1.3,0.818,0.5,1.2,1.7,0.8,0.5,0.4,1.6,1.8,6.5
Dudley Bradley,1981,SG,23,IND,82,,22.8,3.2,6.8,0.474,0,0.2,0.125,3.2,6.6,0.484,0.476,1.5,2.2,0.702,0.9,1.5,2.4,2.3,2.3,0.5,1.5,2.9,8
Mike Bratz,1981,PG,25,CLE,80,,32.4,4,10.2,0.39,0.7,2.1,0.337,3.3,8.1,0.404,0.425,1.3,1.7,0.811,0.8,1.7,2.5,5.7,1.7,0.2,2,2.4,10
Jim Brewer,1981,PF,29,LAL,78,,14.2,1.3,2.5,0.513,0,0,0,1.3,2.5,0.518,0.513,0.2,0.5,0.375,1.6,2,3.6,0.7,0.6,0.7,0.6,2,2.8
Ron Brewer,1981,SG,25,TOT,75,,19.4,3.7,8.4,0.436,0,0.1,0.143,3.7,8.3,0.439,0.437,1.2,1.5,0.798,0.5,0.7,1.1,2,0.8,0.5,1.2,1.3,8.6
Ron Brewer,1981,SG,25,POR,29,,18.9,3.3,8.5,0.386,0,0.1,0.333,3.2,8.4,0.387,0.388,0.9,1.2,0.765,0.4,0.7,1.1,1.9,1.2,0.3,1.3,1.4,7.5
