Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Alaa Abdelnaby,1994,PF,25,BOS,13,0,12.2,1.8,4.2,0.436,0,0,,1.8,4.2,0.436,0.436,1.2,1.9,0.64,0.9,2.6,3.5,0.2,0.2,0.2,1.3,1.5,4.9
Mahmoud Abdul-Rauf,1994,PG,24,DEN,80,78,32.7,7.4,16,0.46,0.5,1.7,0.316,6.8,14.3,0.476,0.476,2.7,2.9,0.956,0.3,1.8,2.1,4.5,1,0.1,1.9,1.9,18
Michael Adams,1994,PG,31,WSB,70,67,33.4,4.1,10,0.408,0.8,2.7,0.288,3.3,7.2,0.454,0.448,3.2,3.9,0.83,0.5,2.1,2.6,6.9,1.4,0.1,2.4,2,12.1
Mark Aguirre,1994,SF,34,LAC,39,0,22,4.2,8.9,0.468,0.9,2.4,0.398,3.2,6.5,0.494,0.522,1.3,1.8,0.694,0.7,2.3,3,2.7,0.5,0.2,1.8,2.5,10.6
Danny Ainge,1994,SG,34,PHO,68,1,22.9,3.3,7.9,0.417,1.2,3.6,0.328,2.1,4.3,0.491,0.492,1.1,1.4,0.83,0.4,1.5,1.9,2.6,0.8,0.1,1.2,2.1,8.9
Gary Alexander,1994,PF,24,TOT,11,0,5,0.7,1.3,0.571,0,0,,0.7,1.3,0.571,0.571,0.3,0.8,0.333,0.6,0.7,1.4,0.2,0.3,0,0.7,0.9,1.7
Gary Alexander,1994,PF,24,MIA,4,0,3,0.3,0.5,0.5,0,0,,0.3,0.5,0.5,0.5,0,0.5,0,0.3,0.5,0.8,0.3,0,0,0.3,0.8,0.5
Gary Alexander,1994,PF,24,CLE,7,0,6.1,1,1.7,0.583,0,0,,1,1.7,0.583,0.583,0.4,1,0.429,0.9,0.9,1.7,0.1,0.4,0,1,1,2.4
Victor Alexander,1994,C,24,GSW,69,39,19.1,3.9,7.3,0.53,0,0.2,0.154,3.8,7.1,0.54,0.532,1,1.9,0.527,1.7,2.8,4.5,1,0.4,0.5,1.2,2.4,8.7
Eric Anderson,1994,PF,23,NYK,11,0,3.5,0.6,1.5,0.412,0.2,0.2,1,0.5,1.4,0.333,0.471,0.5,1.3,0.357,0.5,1,1.5,0.2,0,0.1,0.2,0.8,1.9
Greg Anderson,1994,PF,29,DET,77,47,21.1,2.6,4.8,0.543,0,0,0.333,2.6,4.8,0.545,0.545,1.1,2,0.571,2.4,5,7.4,0.7,0.7,0.9,1.2,3,6.4
Kenny Anderson,1994,PG,23,NJN,82,82,38.2,7,16.8,0.417,0.5,1.6,0.303,6.5,15.2,0.429,0.432,4.2,5.2,0.818,1.1,2.8,3.9,9.6,1.9,0.2,3.2,2.5,18.8
Nick Anderson,1994,SG,26,ORL,81,81,34.7,6.2,13,0.478,1.2,3.9,0.322,5,9.1,0.545,0.526,2.1,3.1,0.672,1.4,4.5,5.9,3.6,1.7,0.4,2,1.8,15.8
Ron Anderson,1994,SF,35,TOT,21,2,17,1.7,4.1,0.407,0.3,1.2,0.269,1.3,2.9,0.467,0.448,0.9,1.1,0.826,0.8,1.8,2.5,0.8,0.4,0.1,0.5,0.8,4.6
Ron Anderson,1994,SF,35,NJN,11,2,16,1.4,3.9,0.349,0.4,1.1,0.333,1,2.8,0.355,0.395,0.9,1.1,0.833,0.7,1.6,2.4,0.5,0.5,0.2,0.1,0.8,4
Ron Anderson,1994,SF,35,WSB,10,0,18,2,4.3,0.465,0.3,1.4,0.214,1.7,2.9,0.586,0.5,0.9,1.1,0.818,0.8,1.9,2.7,1.1,0.3,0.1,0.9,0.7,5.2
Willie Anderson,1994,SG,27,SAS,80,79,31.1,4.9,10.5,0.471,0.3,0.9,0.324,4.7,9.6,0.484,0.484,1.8,2.1,0.848,0.9,2.2,3,4.3,0.9,0.6,1.9,2.3,11.9
Greg Anthony,1994,PG,26,NYK,80,36,24.9,2.8,7.1,0.394,0.6,2,0.3,2.2,5.1,0.431,0.436,1.6,2.1,0.774,0.5,1.8,2.4,4.6,1.4,0.2,1.6,2,7.9
B.J. Armstrong,1994,PG,26,CHI,82,82,33.8,5.8,12.3,0.476,0.7,1.6,0.444,5.1,10.6,0.481,0.505,2.4,2.8,0.855,0.3,1.7,2.1,3.9,1,0.1,1.6,1.8,14.8
Vincent Askew,1994,SG,27,SEA,80,3,21.1,3.4,7.1,0.481,0.1,0.4,0.194,3.3,6.7,0.498,0.487,2.2,2.6,0.829,0.8,1.6,2.3,2.4,0.9,0.2,0.9,1.8,9.1
Keith Askins,1994,SF,26,MIA,37,0,8.6,1,2.4,0.409,0.1,0.6,0.19,0.9,1.8,0.478,0.432,0.2,0.3,0.9,0.9,1.3,2.2,0.4,0.3,0,0.6,1.5,2.3
Stacey Augmon,1994,SG,25,ATL,82,82,31.8,5.4,10.5,0.51,0,0.1,0.143,5.3,10.4,0.513,0.51,4.1,5.3,0.764,2.2,2.6,4.8,2.3,1.8,0.5,1.8,2.2,14.8
Isaac Austin,1994,C,24,PHI,14,0,14.4,2.1,4.7,0.439,0,0.1,0,2.1,4.6,0.446,0.439,1,1.6,0.609,1.8,3.1,4.9,1.2,0.4,0.7,1.2,2.1,5.1
Anthony Avent,1994,PF,24,TOT,74,40,18.5,2,5.4,0.377,0,0,,2,5.4,0.377,0.377,1.2,1.7,0.724,1.9,2.6,4.6,0.9,0.4,0.4,1.1,2,5.3
Anthony Avent,1994,PF,24,MIL,33,20,21.1,2.8,6.9,0.404,0,0,,2.8,6.9,0.404,0.404,1.8,2.4,0.772,1.8,2.8,4.7,1,0.5,0.6,1.3,1.8,7.4
Anthony Avent,1994,PF,24,ORL,41,20,16.5,1.4,4.1,0.341,0,0,,1.4,4.1,0.341,0.341,0.7,1.1,0.636,2,2.4,4.5,0.8,0.4,0.3,1,2.1,3.5
John Bagley,1994,PG,33,ATL,3,0,4.3,0,0.7,0,0,0,,0,0.7,0,0,0.7,0.7,1,0,0.3,0.3,1,0,0,0,0.7,0.7
