Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Shareef Abdur-Rahim,2008,PF,31,SAC,6,0,8.5,0.5,2.3,0.214,0,0,,0.5,2.3,0.214,0.214,0.7,0.7,1,1,0.7,1.7,0.7,0.2,0,0.2,1.5,1.7
Arron Afflalo,2008,SG,22,DET,75,9,12.9,1.3,3.2,0.411,0.1,0.6,0.208,1.2,2.6,0.461,0.432,0.9,1.2,0.782,0.5,1.3,1.8,0.7,0.4,0.1,0.5,1.1,3.7
Maurice Ager,2008,SG,23,TOT,26,3,6.3,0.8,2.5,0.323,0.1,0.7,0.158,0.7,1.8,0.391,0.346,0.2,0.5,0.5,0.2,0.3,0.5,0.3,0,0,0.2,0.7,2
Maurice Ager,2008,SG,23,DAL,12,3,6.4,0.4,2.3,0.185,0,0.7,0,0.4,1.6,0.263,0.185,0.4,0.5,0.833,0.1,0.3,0.3,0.3,0,0.1,0.3,0.9,1.3
Maurice Ager,2008,SG,23,NJN,14,0,6.3,1.1,2.7,0.421,0.2,0.8,0.273,0.9,1.9,0.481,0.461,0.1,0.4,0.167,0.2,0.4,0.6,0.3,0,0,0.2,0.4,2.6
Blake Ahearn,2008,PG,23,MIA,12,0,14.8,1.3,4.8,0.263,0.8,2.8,0.294,0.4,1.9,0.217,0.351,2.5,2.6,0.968,0.1,1.5,1.6,1.6,0.5,0,1.3,1.7,5.8
LaMarcus Aldridge,2008,PF,22,POR,76,76,34.9,7.4,15.3,0.484,0,0.1,0.143,7.4,15.2,0.486,0.484,3,3.9,0.762,2.9,4.7,7.6,1.6,0.7,1.2,1.7,3.2,17.8
Malik Allen,2008,PF,29,TOT,73,16,15,2.2,4.5,0.48,0,0,0.5,2.1,4.5,0.48,0.482,0.3,0.3,0.92,0.9,1.8,2.7,0.6,0.3,0.4,0.6,2,4.6
Malik Allen,2008,PF,29,NJN,48,12,15.9,2.6,5.4,0.475,0,0,0.5,2.6,5.4,0.475,0.477,0.3,0.3,0.923,0.9,1.8,2.7,0.6,0.3,0.4,0.7,1.9,5.4
Malik Allen,2008,PF,29,DAL,25,4,13.3,1.3,2.6,0.5,0,0,,1.3,2.6,0.5,0.5,0.4,0.5,0.917,1,1.8,2.7,0.6,0.2,0.4,0.5,2.4,3.1
Ray Allen*,2008,SG,32,BOS,73,73,35.9,6,13.5,0.445,2.5,6.2,0.398,3.5,7.3,0.485,0.537,2.9,3.2,0.907,1,2.6,3.7,3.1,0.9,0.2,1.7,2,17.4
Tony Allen,2008,SG,26,BOS,75,11,18.3,2.3,5.2,0.434,0.2,0.8,0.316,2,4.4,0.455,0.458,1.8,2.4,0.762,0.5,1.8,2.2,1.5,0.8,0.3,1.5,2.2,6.6
Lance Allred,2008,C,26,CLE,3,0,3.3,0.3,1.3,0.25,0,0,,0.3,1.3,0.25,0.25,0.3,0.7,0.5,0,0.3,0.3,0,0,0,0,0.3,1
Morris Almond,2008,SG,22,UTA,9,0,4.3,0.4,1.7,0.267,0.1,0.4,0.25,0.3,1.2,0.273,0.3,0.4,0.7,0.667,0,0.2,0.2,0.3,0.1,0,0.2,0.6,1.4
Rafer Alston,2008,PG,31,HOU,74,74,34.1,4.9,12.5,0.394,1.9,5.5,0.351,3,7,0.427,0.471,1.3,1.9,0.715,0.4,3.1,3.5,5.3,1.3,0.2,2.2,1.9,13.1
Lou Amundson,2008,PF,25,PHI,16,0,4,0.5,1,0.5,0,0,,0.5,1,0.5,0.5,0.1,0.4,0.286,0.4,0.3,0.8,0,0.1,0.1,0.1,0.8,1.1
Chris Andersen,2008,C,29,NOH,5,0,6.8,0.4,1.4,0.286,0,0,,0.4,1.4,0.286,0.286,0.4,0.8,0.5,0.4,1.4,1.8,0,0,0.8,0.2,1.2,1.2
Derek Anderson,2008,SG,33,CHA,28,0,14.1,1.7,4.5,0.376,0.7,1.9,0.365,1,2.6,0.384,0.452,1,1.4,0.737,0.3,1.5,1.9,1.6,0.4,0,0.9,1.8,5
Carmelo Anthony,2008,SF,23,DEN,77,77,36.4,9.5,19.2,0.492,0.8,2.1,0.354,8.7,17.1,0.509,0.511,6,7.7,0.786,2.3,5.1,7.4,3.4,1.3,0.5,3.3,3.3,25.7
Joel Anthony,2008,PF,25,MIA,24,1,20.8,1.2,2.5,0.467,0,0,,1.2,2.5,0.467,0.467,1.2,2,0.592,1.6,2.3,3.9,0.1,0.4,1.3,0.7,2.3,3.5
Gilbert Arenas,2008,PG,26,WAS,13,8,32.7,6,15.1,0.398,1.7,6,0.282,4.3,9.1,0.475,0.454,5.7,7.4,0.771,0.5,3.5,3.9,5.1,1.8,0.1,3.8,2.3,19.4
Trevor Ariza,2008,SF,22,TOT,35,3,15.6,2,3.9,0.507,0.1,0.5,0.278,1.8,3.4,0.542,0.526,1.4,2.1,0.653,0.9,2.2,3.1,1.3,0.9,0.3,0.7,1.3,5.5
Trevor Ariza,2008,SF,22,ORL,11,0,10.5,1.3,2.8,0.452,0,0.3,0,1.3,2.5,0.5,0.452,0.7,1.4,0.533,0.5,1.7,2.2,0.7,0.5,0.3,0.5,0.8,3.3
Trevor Ariza,2008,SF,22,LAL,24,3,18,2.3,4.4,0.524,0.2,0.6,0.333,2.1,3.8,0.556,0.548,1.7,2.5,0.683,1,2.5,3.5,1.5,1.1,0.3,0.8,1.5,6.5
Darrell Armstrong,2008,PG,39,NJN,50,2,11,0.8,2.2,0.364,0.5,1.4,0.333,0.3,0.8,0.415,0.468,0.4,0.6,0.667,0.3,1,1.3,1.5,0.6,0,0.8,1.1,2.5
Hilton Armstrong,2008,C,23,NOH,65,3,11.3,1,2.3,0.453,0,0,,1,2.3,0.453,0.453,0.7,1.1,0.629,1,1.5,2.5,0.4,0.2,0.5,0.9,2,2.7
Carlos Arroyo,2008,PG,28,ORL,62,20,20.5,2.5,5.6,0.451,0.5,1.4,0.345,2.1,4.3,0.485,0.493,1.4,1.6,0.853,0.2,1.7,1.8,3.5,0.4,0,1.2,1.4,6.9
Chucky Atkins,2008,SG,33,DEN,24,0,14.7,1.8,5.1,0.344,1,3.3,0.316,0.7,1.8,0.395,0.447,0.2,0.4,0.444,0.1,1.2,1.3,2,0.4,0,0.4,1.1,4.7
James Augustine,2008,PF,23,ORL,25,0,6,0.7,1.4,0.529,0,0,,0.7,1.4,0.529,0.529,0.2,0.3,0.5,0.6,0.6,1.2,0.1,0.2,0.1,0.2,0.7,1.6
Kelenna Azubuike,2008,SG,24,GSW,81,17,21.4,3.2,7.2,0.445,0.9,2.4,0.364,2.3,4.8,0.485,0.505,1.2,1.7,0.717,1.3,2.7,4,0.9,0.6,0.4,0.7,2,8.5
Renaldo Balkman,2008,SF,23,NYK,65,0,14.6,1.4,2.9,0.489,0,0.2,0.083,1.4,2.7,0.517,0.492,0.6,1.5,0.432,1.3,2,3.3,0.6,0.7,0.5,0.6,2,3.4
Marcus Banks,2008,PG,26,TOT,36,3,15.8,2.4,5.3,0.45,1.1,2.8,0.392,1.3,2.5,0.517,0.555,0.8,1,0.771,0.1,1.1,1.3,1.7,0.4,0.4,1,1.8,6.6
Marcus Banks,2008,PG,26,PHO,24,1,12.9,1.8,4.5,0.404,1,2.7,0.385,0.8,1.8,0.432,0.518,0.5,0.7,0.75,0.1,0.7,0.8,1,0.3,0.3,0.7,1.6,5.2
