Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,1989,C,41,LAL,74,74,22.9,4.2,8.9,0.475,0,0,0,4.2,8.9,0.477,0.475,1.6,2.2,0.739,1.4,3.1,4.5,1,0.5,1.1,1.3,2.6,10.1
Mark Acres,1989,C,26,BOS,62,0,10.2,0.9,1.8,0.482,0,0,1,0.9,1.8,0.478,0.487,0.4,0.8,0.542,1,1.4,2.4,0.3,0.3,0.1,0.4,1.5,2.2
Michael Adams,1989,PG,26,DEN,77,77,36.2,6.1,14.1,0.433,2.2,6.1,0.356,3.9,8,0.49,0.509,4.2,5.1,0.819,0.9,2.8,3.7,6.4,2.2,0.1,2.3,1.9,18.5
Mark Aguirre,1989,SF,29,TOT,80,76,32.5,7.3,15.9,0.461,0.6,2.2,0.293,6.7,13.7,0.488,0.481,3.6,4.9,0.733,1.8,3,4.8,3.5,0.6,0.5,2.6,2.9,18.9
Mark Aguirre,1989,SF,29,DAL,44,44,34.8,8.5,18.8,0.45,0.7,2.3,0.293,7.8,16.6,0.471,0.467,4,5.5,0.73,2,3.3,5.3,4.3,0.7,0.7,3.2,2.9,21.7
Mark Aguirre,1989,SF,29,DET,36,32,29.7,5.9,12.3,0.483,0.6,2.1,0.293,5.3,10.2,0.522,0.508,3.1,4.1,0.738,1.6,2.6,4.2,2.5,0.4,0.2,1.9,2.8,15.5
Danny Ainge,1989,PG,29,TOT,73,54,32.6,6.6,14.4,0.457,1.6,4.2,0.38,5,10.2,0.488,0.512,2.8,3.3,0.854,1,2.5,3.5,5.5,1.3,0.1,2,2.5,17.5
Danny Ainge,1989,PG,29,BOS,45,28,30,6,13.1,0.46,1.3,3.4,0.374,4.7,9.6,0.491,0.509,2.5,2.8,0.891,0.8,2.6,3.4,4.8,1.2,0,1.8,2.4,15.9
Danny Ainge,1989,PG,29,SAC,28,26,36.7,7.5,16.5,0.452,2.1,5.4,0.387,5.4,11.1,0.484,0.515,3.3,4,0.813,1.2,2.4,3.6,6.7,1.5,0.3,2.3,2.8,20.3
Mark Alarie,1989,PF,25,WSB,74,5,15.4,2.8,5.8,0.478,0.2,0.5,0.342,2.6,5.3,0.491,0.493,1,1.2,0.839,1.4,2.1,3.4,0.9,0.3,0.3,0.8,2.2,6.7
Steve Alford,1989,PG,24,TOT,66,3,13.7,2.2,4.9,0.457,0.3,0.8,0.364,1.9,4.1,0.476,0.488,0.8,0.9,0.82,0.2,0.9,1.1,1.4,0.7,0,0.7,0.9,5.5
Steve Alford,1989,PG,24,DAL,9,0,4.2,0.3,1.2,0.273,0,0.2,0,0.3,1,0.333,0.273,0.1,0.2,0.5,0,0.3,0.3,1,0.1,0,0.1,0.3,0.8
Steve Alford,1989,PG,24,GSW,57,3,15.2,2.5,5.5,0.463,0.4,0.9,0.377,2.2,4.6,0.481,0.495,0.9,1,0.831,0.2,1,1.2,1.5,0.8,0.1,0.8,0.9,6.3
Randy Allen,1989,SG,24,SAC,7,0,6.1,1.1,2.7,0.421,0,0.1,0,1.1,2.6,0.444,0.421,0.1,0.3,0.5,0.4,0.6,1,0,0.1,0.1,0.3,1,2.4
Greg Anderson,1989,PF,24,SAS,82,56,29.3,5.6,11.1,0.503,0,0,0,5.6,11.1,0.505,0.503,2.5,4.9,0.514,3.1,5.1,8.2,0.7,1.2,1.3,2.2,2.7,13.7
Michael Anderson,1989,PG,22,SAS,36,12,20.3,2,4.9,0.417,0,0.2,0.143,2,4.7,0.429,0.42,1.6,2.3,0.695,1.2,1.3,2.5,4.3,1.2,0.1,2.3,1.8,5.7
Richard Anderson,1989,PF,28,POR,72,3,15,2,4.8,0.417,0.7,2,0.348,1.3,2.9,0.464,0.487,0.4,0.5,0.842,0.9,2.3,3.2,1.4,0.6,0.2,0.8,1.4,5.2
Ron Anderson,1989,SF,30,PHI,82,12,31.9,6.9,14,0.491,0,0.1,0.182,6.9,13.9,0.494,0.492,2.4,2.8,0.856,2,2.9,5,1.7,0.9,0.3,1.5,2,16.2
Willie Anderson,1989,SF,22,SAS,81,79,33.8,7.9,15.9,0.498,0,0.3,0.19,7.9,15.6,0.503,0.5,2.8,3.6,0.775,1.9,3.3,5.1,4.6,1.9,0.8,3.2,3.6,18.6
John Bagley,1989,PG,28,NJN,68,20,24.1,2.9,7.1,0.416,0.2,0.8,0.204,2.8,6.3,0.443,0.427,1.3,1.8,0.724,0.5,1.6,2.1,5.8,1.1,0.1,2.3,1.7,7.4
Thurl Bailey,1989,SF,27,UTA,82,3,33.9,7.5,15.5,0.483,0,0.1,0.4,7.5,15.5,0.484,0.484,4.4,5.4,0.825,1.4,4,5.5,1.7,0.6,1.1,2.5,2.3,19.5
Greg Ballard,1989,SF,34,SEA,2,0,7.5,0.5,4,0.125,0,0.5,0,0.5,3.5,0.143,0.125,2,2,1,1,2.5,3.5,0,0,0,0,1.5,3
Ken Bannister,1989,PF,28,LAC,9,2,14.4,2.4,4,0.611,0,0.1,0,2.4,3.9,0.629,0.611,3.3,5.9,0.566,0.7,3,3.7,0.3,0.8,0.2,0.9,1.9,8.2
Charles Barkley*,1989,PF,25,PHI,79,79,39.1,8.9,15.3,0.579,0.4,2.1,0.216,8.4,13.2,0.636,0.594,7.6,10.1,0.753,5.1,7.4,12.5,4.1,1.6,0.8,3.2,3.3,25.8
John Battle,1989,SG,26,ATL,82,0,20.4,3.5,7.7,0.457,0.1,0.4,0.324,3.4,7.2,0.465,0.466,2.4,2.9,0.815,0.4,1.3,1.7,2.4,0.5,0.1,1.3,1.5,9.5
Benoit Benjamin,1989,C,24,LAC,79,62,32.7,6.2,11.5,0.541,0,0,0,6.2,11.5,0.543,0.541,4,5.4,0.744,2.1,6.7,8.8,2,0.7,2.8,3,2.8,16.4
Ricky Berry,1989,SG,24,SAC,64,21,22,4,8.9,0.45,1,2.5,0.406,3,6.4,0.467,0.507,2,2.6,0.789,0.9,2.2,3.1,1.3,0.6,0.3,1.3,3.1,11
Walter Berry,1989,PF,24,TOT,69,31,19.6,3.7,7.3,0.507,0,0,0.5,3.7,7.2,0.507,0.508,1.4,2.1,0.699,1.2,2.6,3.9,1.1,0.4,0.7,1.3,2.7,8.8
Walter Berry,1989,PF,24,NJN,29,17,19.2,3.7,8,0.468,0,0,,3.7,8,0.468,0.468,1.5,2.2,0.683,1.1,2.9,4,0.7,0.3,0.4,1.4,2.4,8.9
