Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Tariq Abdul-Wahad,2002,SG,27,TOT,24,12,18.4,2.3,6.1,0.374,0,0.1,0.5,2.3,6,0.372,0.378,1,1.4,0.727,1.7,1.8,3.5,1,0.8,0.4,1.1,2.3,5.6
Tariq Abdul-Wahad,2002,SG,27,DEN,20,12,20.9,2.8,7.3,0.379,0.1,0.1,0.5,2.7,7.2,0.378,0.383,1.2,1.6,0.75,2,2,3.9,1.1,0.9,0.5,1.2,2.6,6.8
Tariq Abdul-Wahad,2002,SG,27,DAL,4,0,6,0,0.5,0,0,0,,0,0.5,0,0,0,0.3,0,0.5,1,1.5,0.5,0.5,0.3,0.8,1.3,0
Shareef Abdur-Rahim,2002,PF,25,ATL,77,77,38.7,7.8,16.8,0.461,0.3,0.9,0.3,7.5,15.9,0.47,0.469,5.4,6.8,0.801,2.6,6.5,9,3.1,1.3,1.1,3.2,2.8,21.2
Courtney Alexander,2002,SG,24,WAS,56,28,23.7,4,8.5,0.47,0.1,0.3,0.278,3.9,8.1,0.478,0.476,1.8,2.2,0.81,0.8,1.9,2.6,1.5,0.6,0.1,1.1,2,9.8
Victor Alexander,2002,C,32,DET,15,0,6.5,1.2,3.4,0.353,0,0.1,0,1.2,3.3,0.367,0.353,0.3,0.5,0.5,0.5,1.5,1.9,0.4,0,0.1,0.3,0.4,2.7
Malik Allen,2002,PF,23,MIA,12,2,13.4,1.8,4.3,0.431,0,0.1,0,1.8,4.2,0.44,0.431,0.7,0.8,0.8,1.3,1.9,3.2,0.4,0.3,0.7,0.2,1.3,4.3
Ray Allen*,2002,SG,26,MIL,69,67,36.6,7.7,16.6,0.462,3.3,7.7,0.434,4.4,9,0.485,0.561,3.1,3.6,0.873,1.2,3.3,4.5,3.9,1.3,0.3,2.3,2.3,21.8
Rafer Alston,2002,PG,25,MIL,50,7,12,1.3,3.8,0.346,0.5,1.4,0.38,0.8,2.4,0.325,0.416,0.4,0.6,0.621,0.2,1.2,1.4,2.9,0.6,0,0.8,0.8,3.5
John Amaechi,2002,PF,31,UTA,54,0,10.9,1,3.1,0.325,0,0,,1,3.1,0.325,0.325,1.2,1.9,0.638,1,1.1,2,0.5,0.1,0.2,1,1.2,3.2
Chris Andersen,2002,C,23,DEN,24,1,10.9,1,3.1,0.338,0,0.2,0,1,2.9,0.357,0.338,0.9,1.2,0.786,1.6,1.6,3.2,0.3,0.3,1.2,0.5,1.5,3
Derek Anderson,2002,SG,27,POR,70,27,26.6,3.5,8.7,0.404,1.2,3.3,0.373,2.3,5.5,0.422,0.473,2.5,3,0.856,0.7,2,2.7,3.1,1,0.1,1.2,1.6,10.8
Kenny Anderson,2002,PG,31,BOS,76,76,32,4.1,9.4,0.436,0.1,0.4,0.273,4,9,0.444,0.442,1.3,1.7,0.742,0.8,2.9,3.6,5.3,1.9,0.1,1.6,2.8,9.6
Nick Anderson,2002,SG,34,MEM,15,0,14.6,1.4,5.1,0.276,0.9,3.2,0.271,0.5,1.9,0.286,0.362,0.3,0.6,0.556,0.1,2.1,2.2,0.9,0.4,0.4,0.9,1.1,4
Shandon Anderson,2002,SG,28,NYK,82,6,19.5,1.8,4.5,0.399,0.5,1.7,0.277,1.3,2.8,0.474,0.452,0.9,1.3,0.692,0.7,2.3,3,0.9,0.6,0.2,1.2,1.6,5
Greg Anthony,2002,PG,34,TOT,60,38,25.2,3.1,7.9,0.385,0.8,2.7,0.294,2.3,5.2,0.433,0.436,1,1.5,0.659,0.4,1.8,2.2,4.7,1.3,0.1,1.6,1.9,7.9
Greg Anthony,2002,PG,34,CHI,36,35,26.7,3.1,8,0.394,0.8,2.5,0.322,2.3,5.5,0.426,0.444,1.3,1.9,0.671,0.4,2,2.4,5.6,1.4,0.1,1.6,2,8.4
Greg Anthony,2002,PG,34,MIL,24,3,23,2.9,7.8,0.372,0.8,3,0.26,2.1,4.8,0.443,0.423,0.5,0.9,0.619,0.3,1.6,1.8,3.3,1.2,0,1.5,1.8,7.2
Gilbert Arenas,2002,PG,20,GSW,47,30,24.6,3.7,8.2,0.453,0.8,2.4,0.345,2.9,5.8,0.498,0.504,2.6,3.4,0.775,0.9,1.9,2.8,3.7,1.5,0.2,2.1,2.4,10.9
Brandon Armstrong,2002,SG,21,NJN,35,0,5.6,0.8,2.4,0.318,0.1,0.5,0.294,0.6,1.9,0.324,0.347,0.1,0.3,0.5,0.3,0.2,0.5,0.2,0.2,0,0.2,0.7,1.8
Darrell Armstrong,2002,PG,33,ORL,82,79,33.3,4.2,10.1,0.419,1.7,4.9,0.349,2.5,5.2,0.484,0.503,2.2,2.5,0.888,1,2.9,3.9,5.5,1.9,0.1,2.1,2,12.4
Carlos Arroyo,2002,PG,22,TOT,37,1,10,1.3,3,0.441,0,0.1,0,1.3,2.9,0.45,0.441,0.4,0.5,0.722,0.3,0.8,1.1,1.9,0.3,0,0.6,0.8,3
Carlos Arroyo,2002,PG,22,TOR,17,0,5.6,0.8,1.7,0.448,0,0,,0.8,1.7,0.448,0.448,0.2,0.4,0.667,0.2,0.5,0.7,1.2,0.4,0,0.7,0.7,1.8
Carlos Arroyo,2002,PG,22,DEN,20,1,13.8,1.8,4.1,0.439,0,0.1,0,1.8,4,0.45,0.439,0.5,0.6,0.75,0.5,1,1.4,2.5,0.3,0.1,0.6,0.9,4.1
Chucky Atkins,2002,PG,27,DET,79,62,28.9,4.7,10,0.466,1.7,4.3,0.411,2.9,5.7,0.507,0.553,1.1,1.5,0.692,0.4,1.6,2,3.3,0.9,0.1,1.6,2.2,12.1
Stacey Augmon,2002,SG,33,CHH,77,3,17.1,1.8,4.3,0.427,0,0,0,1.8,4.2,0.431,0.427,1,1.3,0.762,0.8,2.2,2.9,1.3,0.7,0.2,0.7,1.5,4.6
Isaac Austin,2002,C,32,MEM,21,8,14.6,1.7,4.4,0.391,0,0.1,0,1.7,4.2,0.404,0.391,0.2,0.2,1,0.5,2.9,3.4,0.6,0.4,0.2,0.5,1.7,3.6
William Avery,2002,PG,22,MIN,28,0,9.2,0.9,3.2,0.289,0.2,1.3,0.171,0.7,2,0.364,0.322,0.5,0.7,0.684,0.1,0.7,0.9,1.3,0.3,0,0.7,0.6,2.5
Dalibor Bagarić,2002,C,21,CHI,50,0,12.8,1.4,3.6,0.404,0,0,0,1.4,3.5,0.407,0.404,0.8,1.4,0.586,1.1,2.1,3.2,0.5,0.3,0.5,0.9,2.2,3.7
Vin Baker,2002,C,30,SEA,55,41,31.1,5.7,11.8,0.485,0,0.1,0.125,5.7,11.7,0.49,0.486,2.6,4.1,0.633,3.1,3.3,6.4,1.3,0.4,0.7,2.3,3.6,14.1
Erick Barkley,2002,PG,23,POR,19,4,12,1.3,3.6,0.353,0.1,0.4,0.143,1.2,3.2,0.377,0.36,0.5,0.5,0.9,0.3,0.7,0.9,1.8,0.9,0.1,0.6,1.5,3.1
Dana Barros,2002,PG,34,DET,29,20,20.1,2.6,6.6,0.385,0.8,2.4,0.338,1.7,4.2,0.413,0.448,0.7,0.9,0.778,0,1.9,2,2.7,0.5,0.1,1.1,1.3,6.7
Brent Barry,2002,SG,30,SEA,81,81,37.5,5,9.8,0.508,2,4.8,0.424,2.9,5,0.588,0.611,2.4,2.9,0.846,0.7,4.7,5.4,5.3,1.8,0.5,2,2.2,14.4
Jon Barry,2002,SG,32,DET,82,6,24.2,3.1,6.4,0.489,1.5,3.1,0.469,1.6,3.2,0.508,0.604,1.3,1.4,0.931,0.5,2.3,2.9,3.3,1.1,0.2,1.4,1.6,9
Mengke Bateer,2002,C,26,DEN,27,10,15.1,2,4.9,0.402,0.1,0.4,0.333,1.8,4.4,0.408,0.417,1.1,1.4,0.784,1.2,2.4,3.6,0.8,0.4,0.2,1.2,3.5,5.1
Tony Battie,2002,C,25,BOS,74,73,24.6,2.9,5.3,0.541,0,0,0,2.9,5.2,0.544,0.541,1.2,1.8,0.677,2.5,4,6.5,0.5,0.8,0.9,0.7,3,6.9
