Player,Season,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kareem Abdul-Jabbar*,1982,C,34,LAL,76,76,35.2,9.9,17.1,0.579,0,0,0,9.9,17.1,0.58,0.579,4.1,5.8,0.706,2.3,6.4,8.7,3,0.8,2.7,3,2.9,23.9
Alvan Adams,1982,C,27,PHO,79,75,30.3,6.4,13,0.494,0,0,0,6.4,13,0.494,0.494,2.3,2.9,0.781,1.7,5.7,7.4,4.5,1.4,1,2.5,3.4,15.1
Mark Aguirre,1982,SF,22,DAL,51,20,28.8,7.5,16.1,0.465,0.5,1.4,0.352,7,14.7,0.475,0.48,3.3,4.8,0.68,1.7,3.1,4.9,3.2,0.7,0.4,2.6,3,18.7
Danny Ainge,1982,SG,22,BOS,53,1,10.6,1.5,4.2,0.357,0.1,0.3,0.294,1.4,3.8,0.363,0.369,1.1,1.2,0.862,0.5,0.6,1.1,1.6,0.7,0.1,1,1.6,4.1
Tiny Archibald*,1982,PG,33,BOS,68,51,31.9,4.5,9.6,0.472,0.1,0.2,0.375,4.4,9.4,0.475,0.477,3.5,4.6,0.747,0.4,1.3,1.7,8,0.8,0,2.6,1.9,12.6
Dennis Awtrey,1982,C,33,POR,10,3,12.1,0.5,1.5,0.333,0,0,,0.5,1.5,0.333,0.333,0.5,0.9,0.556,0.7,0.7,1.4,0.8,0.1,0.2,0.6,2.8,1.5
Carl Bailey,1982,C,23,POR,1,0,7,1,1,1,0,0,,1,1,1,1,0,0,,0,0,0,0,0,0,2,2,2
James Bailey,1982,PF,24,TOT,77,0,19.1,3.4,6.6,0.517,0,0,,3.4,6.6,0.517,0.517,1.8,2.9,0.612,1.6,3.4,5.1,0.8,0.5,1.1,1.8,3.5,8.6
James Bailey,1982,PF,24,SEA,10,0,18,3.1,6.5,0.477,0,0,,3.1,6.5,0.477,0.477,0.4,1.1,0.364,1.7,3.1,4.8,1.3,0.3,0.7,1.9,4.2,6.6
James Bailey,1982,PF,24,NJN,67,0,19.2,3.4,6.6,0.523,0,0,,3.4,6.6,0.523,0.523,2,3.2,0.624,1.6,3.5,5.1,0.8,0.6,1.1,1.8,3.4,8.9
Greg Ballard,1982,SF,27,WSB,79,79,37.3,7.9,16.5,0.475,0.1,0.3,0.409,7.7,16.3,0.476,0.479,3,3.6,0.83,1.7,6.3,8,3.2,1.7,0.3,1.5,2.6,18.8
Gene Banks,1982,SF,22,SAS,80,4,21.3,3.9,8.2,0.477,0,0.1,0,3.9,8.1,0.483,0.477,1.8,2.7,0.684,2,3.2,5.1,1.8,0.7,0.2,1.3,2.5,9.6
Mike Bantom,1982,SF,30,TOT,82,38,24.6,4.1,8.7,0.469,0,0.1,0.333,4,8.6,0.47,0.471,2,3.3,0.629,2.1,3.2,5.4,1.4,0.8,0.7,1.8,3.3,10.2
Mike Bantom,1982,SF,30,IND,39,37,26.6,4.6,10.4,0.438,0,0.1,0.333,4.5,10.3,0.439,0.44,2.6,3.9,0.66,2.2,3.3,5.5,1.7,1,0.6,2.2,3.6,11.7
Mike Bantom,1982,SF,30,PHI,43,1,22.8,3.6,7.1,0.51,0,0.1,0.333,3.6,7,0.512,0.511,1.6,2.7,0.588,2,3.2,5.3,1.1,0.6,0.9,1.5,3.1,8.8
Billy Ray Bates,1982,SG,25,POR,75,0,16.4,4.4,9.2,0.473,0.2,0.5,0.293,4.2,8.7,0.484,0.481,2.2,2.8,0.787,0.7,0.7,1.4,1.5,0.5,0.1,1.2,1.3,11.1
Mel Bennett,1982,PF,27,CLE,3,0,7.7,0.7,1.3,0.5,0,0,,0.7,1.3,0.5,0.5,0.3,2,0.167,0.3,0.7,1,0,0.3,0,1.3,0.7,1.7
Kent Benson,1982,C,27,DET,75,72,32.9,5.4,10.7,0.505,0,0.1,0.273,5.4,10.5,0.508,0.507,1.7,2.1,0.804,2.9,5.8,8.7,2.1,0.9,1.3,2.1,2.9,12.5
Larry Bird*,1982,PF,25,BOS,77,58,38,9.2,18.4,0.503,0.1,0.7,0.212,9.1,17.7,0.514,0.507,4.3,4.9,0.863,2.6,8.3,10.9,5.8,1.9,0.9,3.3,3.2,22.9
Otis Birdsong,1982,SG,26,NJN,37,22,27.7,6.1,13,0.469,0,0.3,0,6.1,12.7,0.479,0.469,2,3.4,0.583,0.8,1.8,2.6,3.4,0.8,0.1,1.7,2,14.2
Rolando Blackman,1982,SG,22,DAL,82,16,24.1,5.4,10.4,0.513,0,0,0.25,5.3,10.4,0.515,0.514,2.6,3.4,0.768,1.2,1.9,3.1,1.3,0.6,0.4,1.4,1.5,13.3
Ray Blume,1982,SG,23,CHI,49,2,11.1,2.1,4.5,0.459,0.1,0.4,0.222,2,4.2,0.48,0.468,0.4,0.6,0.643,0.3,0.6,0.8,1.4,0.5,0,1.1,1.2,4.6
Alex Bradley,1982,SF,22,NYK,39,0,8.5,1.4,2.6,0.524,0,0,0,1.4,2.6,0.529,0.524,0.7,1.2,0.604,0.8,0.9,1.7,0.3,0.3,0.1,0.7,0.9,3.5
Charles Bradley,1982,SG,22,BOS,51,1,6.6,1.1,2.4,0.451,0,0,0,1.1,2.4,0.455,0.451,0.8,1.2,0.677,0.2,0.5,0.7,0.4,0.3,0.1,0.7,1.2,3
Dudley Bradley,1982,SG,24,PHO,64,3,14.6,2,4.4,0.445,0,0.1,0.25,1.9,4.3,0.448,0.447,1.2,1.6,0.74,0.5,0.9,1.4,1.3,1.2,0.2,1.1,1.8,5.1
Brad Branson,1982,PF,23,CLE,10,3,17.6,2.1,5.2,0.404,0,0,,2.1,5.2,0.404,0.404,1.1,1.2,0.917,1.4,1.9,3.3,0.6,0.5,0.4,1.3,1.7,5.3
Mike Bratz,1982,PG,26,SAS,81,3,20,2.8,7,0.407,0.6,1.7,0.333,2.3,5.3,0.431,0.448,1.5,1.9,0.783,0.5,1.6,2,5.4,0.8,0.1,1.7,2.3,7.7
Jim Brewer,1982,PF,30,LAL,71,9,13.6,1.1,2.5,0.463,0,0.1,0.167,1.1,2.4,0.473,0.466,0.1,0.3,0.368,1.5,2.2,3.7,0.6,0.5,0.6,0.5,1.8,2.4
Ron Brewer,1982,SG,26,TOT,72,45,32.2,7.9,16.6,0.477,0.1,0.4,0.258,7.8,16.2,0.482,0.48,2.9,3.6,0.812,0.8,1.5,2.2,2.6,1.1,0.4,1.7,2.1,18.8
Ron Brewer,1982,SG,26,SAS,25,4,23.8,7.3,14.4,0.504,0.1,0.4,0.3,7.2,14,0.51,0.508,3.1,3.5,0.875,0.5,1.5,2,2.7,0.9,0.3,1.4,1.5,17.8
Ron Brewer,1982,SG,26,CLE,47,41,36.7,8.2,17.7,0.465,0.1,0.4,0.238,8.1,17.3,0.47,0.468,2.9,3.7,0.779,0.9,1.5,2.4,2.6,1.3,0.5,1.9,2.4,19.4
Junior Bridgeman,1982,SF,28,MIL,41,4,22.5,5.1,10.6,0.483,0.1,0.2,0.444,5,10.3,0.483,0.487,2.2,2.5,0.864,0.9,2.1,3,2.7,0.7,0.1,1.6,2.2,12.5
Allan Bristow,1982,SF,30,DAL,82,54,24.8,2.7,6.1,0.437,0,0.2,0.167,2.6,5.9,0.447,0.44,1.6,2,0.817,1.5,2.7,4.1,5.5,0.8,0.1,2,2.7,7
Jim Brogan,1982,SG,23,SDC,63,19,16.3,2.6,5.8,0.453,0.1,0.5,0.281,2.5,5.3,0.47,0.466,1,1.3,0.726,1,0.9,1.9,2.5,0.8,0.2,1.3,2,6.3
Michael Brooks,1982,SF,23,SDC,82,73,33.5,6.5,13,0.504,0,0.1,0,6.5,12.9,0.507,0.504,2.5,3.3,0.757,2.5,5.1,7.6,2.9,1.4,0.5,2.4,3.5,15.6
Fred Brown,1982,SG,33,SEA,82,2,21.8,4.8,10.5,0.455,0.3,0.9,0.325,4.5,9.6,0.468,0.47,1.4,1.6,0.86,0.5,1.2,1.7,2.9,0.8,0,1.2,1.4,11.2
Rickey Brown,1982,C,23,GSW,82,11,15.4,2.3,5.1,0.459,0,0,,2.3,5.1,0.459,0.459,1,1.5,0.705,1.7,2.8,4.4,0.2,0.4,0.4,1,3,5.7
Joe Bryant,1982,SF,27,SDC,75,49,26.5,4.5,9.3,0.486,0.1,0.4,0.267,4.4,8.9,0.496,0.492,2.6,3.3,0.785,1.1,2.6,3.7,2.5,1,0.4,2.4,3.3,11.8
